省份,年份,月份,年月,供应链环节,抽检总批次数,合格批次数,不合格批次数,AFB1相关记录数,AFB1相关不合格批次数,浓度可用记录数,不合格率,AFB1相关不合格率,数据完整性标记,年月排序,总体不合格_观测成功数,总体不合格_观测试验数,总体不合格_观测率,总体不合格_先验alpha,总体不合格_先验beta,总体不合格_先验均值,总体不合格_先验方差,总体不合格_先验95下限_正态近似,总体不合格_先验95上限_正态近似,总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,总体不合格_后验标准差,总体不合格_后验95下限_正态近似,总体不合格_后验95上限_正态近似,总体不合格_后验强度,总体不合格_风险等级_经验阈值,总体不合格_不确定性等级,总体不合格_较上期后验均值变化,总体不合格_本期是否更新,AFB1全样本不合格_观测成功数,AFB1全样本不合格_观测试验数,AFB1全样本不合格_观测率,AFB1全样本不合格_先验alpha,AFB1全样本不合格_先验beta,AFB1全样本不合格_先验均值,AFB1全样本不合格_先验方差,AFB1全样本不合格_先验95下限_正态近似,AFB1全样本不合格_先验95上限_正态近似,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1全样本不合格_后验标准差,AFB1全样本不合格_后验95下限_正态近似,AFB1全样本不合格_后验95上限_正态近似,AFB1全样本不合格_后验强度,AFB1全样本不合格_风险等级_经验阈值,AFB1全样本不合格_不确定性等级,AFB1全样本不合格_较上期后验均值变化,AFB1全样本不合格_本期是否更新,AFB1条件不合格_观测成功数,AFB1条件不合格_观测试验数,AFB1条件不合格_观测率,AFB1条件不合格_先验alpha,AFB1条件不合格_先验beta,AFB1条件不合格_先验均值,AFB1条件不合格_先验方差,AFB1条件不合格_先验95下限_正态近似,AFB1条件不合格_先验95上限_正态近似,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,AFB1条件不合格_后验标准差,AFB1条件不合格_后验95下限_正态近似,AFB1条件不合格_后验95上限_正态近似,AFB1条件不合格_后验强度,AFB1条件不合格_风险等级_经验阈值,AFB1条件不合格_不确定性等级,AFB1条件不合格_较上期后验均值变化,AFB1条件不合格_本期是否更新,状态ID,时间步序号,样本覆盖强度,AFB1记录覆盖强度,浓度可用率,总体观测不合格率,AFB1全样本观测不合格率,AFB1条件观测不合格率,belief_mdp_state_vector_columns,省份_规范,消费量_g_day,消费量_kg_day,消费量匹配方式,消费量匹配置信度,是否建议人工复核_消费量,消费量复核原因,人口数_人,人口原始值_万人,人口匹配方式,人口匹配置信度,是否建议人工复核_人口,人口复核原因,体重_kg_bw,BMDL_default_μg_kg_bw,BMDL_low_μg_kg_bw,BMDL_sensitive_μg_kg_bw,BMDL_high_μg_kg_bw,BMDL_upper_μg_kg_bw,EDI记录数,EDI均值,EDI中位数,EDI_P95,MOE_default_均值,MOE_default_中位数,MOE_default_最小值,低于MOE阈值记录数,MOE风险惩罚项_均值,低于MOE阈值比例,MOE风险等级_主导,是否低于MOE_cutoff,人口加权风险_proxy,MOE风险惩罚_proxy
上海,2023,1,2023-01,流通,1,1,0,0,0,0,0.0,,基本完整,2023-01,0,1,0.0,1.0,1.0,0.5,0.0833333333333333,0.0,1.0,1.0,2.0,0.3333333333333333,0.0555555555555555,0.2357022603955158,0.0,0.7953097637085443,3.0,高,高,,True,0,1,0.0,1.0,1.0,0.5,0.0833333333333333,0.0,1.0,1.0,2.0,0.3333333333333333,0.0555555555555555,0.2357022603955158,0.0,0.7953097637085443,3.0,高,高,,True,0,0,,1.0,1.0,0.5,0.0833333333333333,0.0,1.0,1.0,1.0,0.5,0.0833333333333333,0.2886751345948128,0.0,1.0,2.0,高,高,,False,上海|流通|2023-01,1,0.6931471805599453,0.0,,0.0,0.0,,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率,消费量_kg_day,人口数_人,体重_kg_bw,BMDL_default_μg_kg_bw,EDI均值,EDI_P95,MOE_default_中位数,MOE_default_最小值,低于MOE阈值比例,人口加权风险_proxy,MOE风险惩罚_proxy",上海,2.51,0.0025099999999999996,同省最近年份(2022),中,True,消费量数据年份未覆盖当前面板年份，使用同省最近年份。,24870000.0,2487.0,同省同年,高,False,,60.0,0.105,0.05,0.066,0.158,0.189,,,,,,,,,,,,False,0.0,0.0
上海,2023,2,2023-02,流通,6,6,0,0,0,0,0.0,,基本完整,2023-02,0,6,0.0,1.0,1.95,0.3389830508474576,0.0567274790090145,0.0,0.8058066613911301,1.0,7.95,0.111731843575419,0.0099746571564479,0.0998732053978841,0.0,0.3074833261552719,8.95,高,高,-0.2216014897579143,True,0,6,0.0,1.0,1.95,0.3389830508474576,0.0567274790090145,0.0,0.8058066613911301,1.0,7.95,0.111731843575419,0.0099746571564479,0.0998732053978841,0.0,0.3074833261552719,8.95,高,高,-0.2216014897579143,True,0,0,,1.0,1.0,0.5,0.0833333333333333,0.0,1.0,1.0,1.0,0.5,0.0833333333333333,0.2886751345948128,0.0,1.0,2.0,高,高,0.0,False,上海|流通|2023-02,2,1.9459101490553128,0.0,,0.0,0.0,,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率,消费量_kg_day,人口数_人,体重_kg_bw,BMDL_default_μg_kg_bw,EDI均值,EDI_P95,MOE_default_中位数,MOE_default_最小值,低于MOE阈值比例,人口加权风险_proxy,MOE风险惩罚_proxy",上海,2.51,0.0025099999999999996,同省最近年份(2022),中,True,消费量数据年份未覆盖当前面板年份，使用同省最近年份。,24870000.0,2487.0,同省同年,高,False,,60.0,0.105,0.05,0.066,0.158,0.189,,,,,,,,,,,,False,0.0,0.0
上海,2023,3,2023-03,流通,14,14,0,0,0,0,0.0,,基本完整,2023-03,0,14,0.0,1.0,7.6025,0.1162452775356001,0.0106984965359303,0.0,0.318975009672823,1.0,21.6025,0.0442428934852339,0.0017915669891447,0.0423269062080459,0.0,0.1272036296530039,22.6025,中,中,-0.067488950090185,True,0,14,0.0,1.0,7.6025,0.1162452775356001,0.0106984965359303,0.0,0.318975009672823,1.0,21.6025,0.0442428934852339,0.0017915669891447,0.0423269062080459,0.0,0.1272036296530039,22.6025,中,中,-0.067488950090185,True,0,0,,1.0,1.0,0.5,0.0833333333333333,0.0,1.0,1.0,1.0,0.5,0.0833333333333333,0.2886751345948128,0.0,1.0,2.0,高,高,0.0,False,上海|流通|2023-03,3,2.70805020110221,0.0,,0.0,0.0,,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率,消费量_kg_day,人口数_人,体重_kg_bw,BMDL_default_μg_kg_bw,EDI均值,EDI_P95,MOE_default_中位数,MOE_default_最小值,低于MOE阈值比例,人口加权风险_proxy,MOE风险惩罚_proxy",上海,2.51,0.0025099999999999996,同省最近年份(2022),中,True,消费量数据年份未覆盖当前面板年份，使用同省最近年份。,24870000.0,2487.0,同省同年,高,False,,60.0,0.105,0.05,0.066,0.158,0.189,,,,,,,,,,,,False,0.0,0.0
上海,2023,4,2023-04,流通,6,6,0,0,0,0,0.0,,基本完整,2023-04,0,6,0.0,1.0,20.572375,0.0463555820812497,0.0019584444300237,0.0,0.1330940402320573,1.0,26.572375,0.0362681850946826,0.001223307612497,0.0349758146795332,0.0,0.1048207818665677,27.572375,中,中,-0.0079747083905513,True,0,6,0.0,1.0,20.572375,0.0463555820812497,0.0019584444300237,0.0,0.1330940402320573,1.0,26.572375,0.0362681850946826,0.001223307612497,0.0349758146795332,0.0,0.1048207818665677,27.572375,中,中,-0.0079747083905513,True,0,0,,1.0,1.0,0.5,0.0833333333333333,0.0,1.0,1.0,1.0,0.5,0.0833333333333333,0.2886751345948128,0.0,1.0,2.0,高,高,0.0,False,上海|流通|2023-04,4,1.9459101490553128,0.0,,0.0,0.0,,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率,消费量_kg_day,人口数_人,体重_kg_bw,BMDL_default_μg_kg_bw,EDI均值,EDI_P95,MOE_default_中位数,MOE_default_最小值,低于MOE阈值比例,人口加权风险_proxy,MOE风险惩罚_proxy",上海,2.51,0.0025099999999999996,同省最近年份(2022),中,True,消费量数据年份未覆盖当前面板年份，使用同省最近年份。,24870000.0,2487.0,同省同年,高,False,,60.0,0.105,0.05,0.066,0.158,0.189,,,,,,,,,,,,False,0.0,0.0
上海,2023,5,2023-05,流通,15,15,0,0,0,0,0.0,,基本完整,2023-05,0,15,0.0,1.0,25.29375625,0.0380318426356447,0.0013404319012111,0.0,0.1097911848266995,1.0,40.29375625,0.0242167361560865,0.0005587180695503,0.0236372178893868,0.0,0.0705456832192847,41.29375625,低,中,-0.012051448938596,True,0,15,0.0,1.0,25.29375625,0.0380318426356447,0.0013404319012111,0.0,0.1097911848266995,1.0,40.29375625,0.0242167361560865,0.0005587180695503,0.0236372178893868,0.0,0.0705456832192847,41.29375625,低,中,-0.012051448938596,True,0,0,,1.0,1.0,0.5,0.0833333333333333,0.0,1.0,1.0,1.0,0.5,0.0833333333333333,0.2886751345948128,0.0,1.0,2.0,高,高,0.0,False,上海|流通|2023-05,5,2.772588722239781,0.0,,0.0,0.0,,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率,消费量_kg_day,人口数_人,体重_kg_bw,BMDL_default_μg_kg_bw,EDI均值,EDI_P95,MOE_default_中位数,MOE_default_最小值,低于MOE阈值比例,人口加权风险_proxy,MOE风险惩罚_proxy",上海,2.51,0.0025099999999999996,同省最近年份(2022),中,True,消费量数据年份未覆盖当前面板年份，使用同省最近年份。,24870000.0,2487.0,同省同年,高,False,,60.0,0.105,0.05,0.066,0.158,0.189,,,,,,,,,,,,False,0.0,0.0
上海,2023,6,2023-06,流通,8,8,0,0,0,0,0.0,,基本完整,2023-06,0,8,0.0,1.0,38.3290684375,0.0254264857961015,0.0006144446320292,0.0,0.0740109534622556,1.0,46.3290684375,0.021128664328573,0.0004279462555544,0.0206868619068834,0.0,0.0616749136660645,47.3290684375,低,中,-0.0030880718275134,True,0,8,0.0,1.0,38.3290684375,0.0254264857961015,0.0006144446320292,0.0,0.0740109534622556,1.0,46.3290684375,0.021128664328573,0.0004279462555544,0.0206868619068834,0.0,0.0616749136660645,47.3290684375,低,中,-0.0030880718275134,True,0,0,,1.0,1.0,0.5,0.0833333333333333,0.0,1.0,1.0,1.0,0.5,0.0833333333333333,0.2886751345948128,0.0,1.0,2.0,高,高,0.0,False,上海|流通|2023-06,6,2.19722457733622,0.0,,0.0,0.0,,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率,消费量_kg_day,人口数_人,体重_kg_bw,BMDL_default_μg_kg_bw,EDI均值,EDI_P95,MOE_default_中位数,MOE_default_最小值,低于MOE阈值比例,人口加权风险_proxy,MOE风险惩罚_proxy",上海,2.51,0.0025099999999999996,同省最近年份(2022),中,True,消费量数据年份未覆盖当前面板年份，使用同省最近年份。,24870000.0,2487.0,同省同年,高,False,,60.0,0.105,0.05,0.066,0.158,0.189,,,,,,,,,,,,False,0.0,0.0
上海,2023,7,2023-07,流通,4,4,0,0,0,0,0.0,,基本完整,2023-07,0,4,0.0,1.0,44.062615015625,0.0221913441919262,0.0004710737422858,0.0,0.0647316414213207,1.0,48.062615015625,0.0203821178239588,0.0003988342816438,0.0199708357772989,0.0,0.0595249559474647,49.062615015625,低,中,-0.0007465465046142,True,0,4,0.0,1.0,44.062615015625,0.0221913441919262,0.0004710737422858,0.0,0.0647316414213207,1.0,48.062615015625,0.0203821178239588,0.0003988342816438,0.0199708357772989,0.0,0.0595249559474647,49.062615015625,低,中,-0.0007465465046142,True,0,0,,1.0,1.0,0.5,0.0833333333333333,0.0,1.0,1.0,1.0,0.5,0.0833333333333333,0.2886751345948128,0.0,1.0,2.0,高,高,0.0,False,上海|流通|2023-07,7,1.6094379124341005,0.0,,0.0,0.0,,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率,消费量_kg_day,人口数_人,体重_kg_bw,BMDL_default_μg_kg_bw,EDI均值,EDI_P95,MOE_default_中位数,MOE_default_最小值,低于MOE阈值比例,人口加权风险_proxy,MOE风险惩罚_proxy",上海,2.51,0.0025099999999999996,同省最近年份(2022),中,True,消费量数据年份未覆盖当前面板年份，使用同省最近年份。,24870000.0,2487.0,同省同年,高,False,,60.0,0.105,0.05,0.066,0.158,0.189,,,,,,,,,,,,False,0.0,0.0
上海,2023,8,2023-08,流通,5,4,1,0,0,0,0.2,,基本完整,2023-08,1,5,0.2,1.0,45.70948426484375,0.0214089283095051,0.000439128328905,0.0,0.0624814907852227,2.0,49.70948426484375,0.0386776242005523,0.0007054075012369,0.0265595086783806,0.0,0.0907342612101783,51.70948426484375,中,中,0.0182955063765935,True,0,5,0.0,1.0,45.70948426484375,0.0214089283095051,0.000439128328905,0.0,0.0624814907852227,1.0,50.70948426484375,0.0193388121002761,0.0003597990515622,0.01896836976554,0.0,0.0565168168407347,51.70948426484375,低,中,-0.0010433057236826,True,0,0,,1.0,1.0,0.5,0.0833333333333333,0.0,1.0,1.0,1.0,0.5,0.0833333333333333,0.2886751345948128,0.0,1.0,2.0,高,高,0.0,False,上海|流通|2023-08,8,1.791759469228055,0.0,,0.2,0.0,,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率,消费量_kg_day,人口数_人,体重_kg_bw,BMDL_default_μg_kg_bw,EDI均值,EDI_P95,MOE_default_中位数,MOE_default_最小值,低于MOE阈值比例,人口加权风险_proxy,MOE风险惩罚_proxy",上海,2.51,0.0025099999999999996,同省最近年份(2022),中,True,消费量数据年份未覆盖当前面板年份，使用同省最近年份。,24870000.0,2487.0,同省同年,高,False,,60.0,0.105,0.05,0.066,0.158,0.189,,,,,,,,,,,,False,0.0,0.0
上海,2023,9,2023-09,流通,10,10,0,0,0,0,0.0,,基本完整,2023-09,0,10,0.0,1.95,47.27401005160156,0.0396148139486363,0.0007575157862815,0.0,0.0935599031095524,1.95,57.27401005160156,0.03292583528709,0.0005287214290522,0.022993943312364,0.0,0.0779939641793235,59.22401005160156,中,中,-0.0057517889134622,True,0,10,0.0,1.0,48.22401005160155,0.0203152892044288,0.0003962761676839,0.0,0.0593323947579511,1.0,58.22401005160155,0.0168850437369692,0.0002756365612443,0.0166023059014213,0.0,0.0494255633037551,59.22401005160155,低,中,-0.0024537683633068,True,0,0,,1.0,1.0,0.5,0.0833333333333333,0.0,1.0,1.0,1.0,0.5,0.0833333333333333,0.2886751345948128,0.0,1.0,2.0,高,高,0.0,False,上海|流通|2023-09,9,2.3978952727983707,0.0,,0.0,0.0,,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率,消费量_kg_day,人口数_人,体重_kg_bw,BMDL_default_μg_kg_bw,EDI均值,EDI_P95,MOE_default_中位数,MOE_default_最小值,低于MOE阈值比例,人口加权风险_proxy,MOE风险惩罚_proxy",上海,2.51,0.0025099999999999996,同省最近年份(2022),中,True,消费量数据年份未覆盖当前面板年份，使用同省最近年份。,24870000.0,2487.0,同省同年,高,False,,60.0,0.105,0.05,0.066,0.158,0.189,,,,,,,,,,,,False,0.0,0.0
上海,2023,10,2023-10,流通,4,4,0,0,0,0,0.0,,基本完整,2023-10,0,4,0.0,1.9025,54.460309549021474,0.0337545274130684,0.0005685767407246,0.0,0.0804904280374025,1.9025,58.460309549021474,0.0315177509829948,0.0004974410816633,0.0223033872239929,0.0,0.0752323899420209,60.36280954902148,中,中,-0.0014080843040952,True,0,4,0.0,1.0,55.36280954902147,0.0177421957493132,0.0003038102627175,0.0,0.0519052972662397,1.0,59.36280954902147,0.0165664919752929,0.0002655035425962,0.0162942794439113,0.0,0.0485032796853591,60.36280954902147,低,中,-0.0003185517616763,True,0,0,,1.0,1.0,0.5,0.0833333333333333,0.0,1.0,1.0,1.0,0.5,0.0833333333333333,0.2886751345948128,0.0,1.0,2.0,高,高,0.0,False,上海|流通|2023-10,10,1.6094379124341005,0.0,,0.0,0.0,,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率,消费量_kg_day,人口数_人,体重_kg_bw,BMDL_default_μg_kg_bw,EDI均值,EDI_P95,MOE_default_中位数,MOE_default_最小值,低于MOE阈值比例,人口加权风险_proxy,MOE风险惩罚_proxy",上海,2.51,0.0025099999999999996,同省最近年份(2022),中,True,消费量数据年份未覆盖当前面板年份，使用同省最近年份。,24870000.0,2487.0,同省同年,高,False,,60.0,0.105,0.05,0.066,0.158,0.189,,,,,,,,,,,,False,0.0,0.0
