原始产品分类,分类规则ID,分类触发词,新一级类,新二级类,新三级类,分类依据,是否建议人工复核,记录数,示例产品名称
粮食及其制品-->大米,CAT_GRAIN_RICE,大米,粮食及粮食制品,谷物原粮及初加工,大米,产品名称/原始分类指向大米原粮或初加工品。,否,7061,汉中香米；珍珠米；大米；汉中大米；大米(三江珍珠米)；东北珍珠米；莹花汉中香米；泰香米(大米)
酒类-->白酒,CAT_ALCOHOL,酒类,酒类,白酒,按原始酒类细类,原始分类指向酒类。,否,6889,散装白酒；43号散装白酒；32#散装白酒；散装五福坊酒；白酒（原酒）；高粱酒；红高粱酒；白酒（原酒）（浓香型）
餐饮-->米面及其制品,CAT_CATERING_STAPLE,餐饮-->米面及其制品,餐饮食品,餐饮主食,米面熟制品,原始分类为餐饮场景，且产品为米面及其制品；保留餐饮加工/使用语境，不与原粮大米合并。,否,5110,红糖馒头；油条；玉米粑（发酵面制品）；馒头；米线(自制)；油条(自制)；馒头(自制)；自制油条
水产及其制品-->生鲜、冷冻水产品,CAT_AQUATIC,水产及其制品,水产及水产制品,生鲜、冷冻水产品,按原始水产细类,原始分类指向水产及其制品。,否,3993,泥鳅；牛蛙；牛蛙（其他水产品）；草鱼；菜蛙；白鲢鱼；花鲢鱼；美蛙（鲜活其他水产品）
油脂及其制品-->植物油脂,CAT_OIL,油脂及其制品,食用油、油脂及其制品,食用油脂,植物油脂,原始分类指向食用油脂。,否,3746,纯菜籽油；菜籽油（小榨特香）；纯香菜籽油；纯正菜籽油（分装）；小榨炒香菜籽油；食用植物调和油(芝麻调和油)；食用植物调和油；外婆乡小榨菜籽油
焙烤食品-->糕点,CAT_BAKERY,焙烤食品,焙烤食品,糕点,按原始焙烤细类,原始分类指向焙烤食品。,否,2837,红糖黄粑；杜浔酥糖；国宇枣糕；三角糕峰蛋糕（肉松味）；无蔗糖糕点（提子味）；益生菌沙琪玛（蜜柚味）；益生菌沙琪玛（圣女果味）；三角糕峰蛋糕（日式抹茶味）
蔬菜及其制品-->酱腌菜,CAT_VEG,酱腌菜,蔬菜及蔬菜制品,蔬菜制品,酱腌菜/腌渍蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：酱腌菜。,否,2542,叶孃孃麻辣萝卜干（四川省泸州叙永特产农家脆甜麻辣萝卜干开味下饭菜咸菜两样包邮）；泡海椒；麻竹笋；隆城小厨鱼酸菜；泡萝卜（自制）；自制泡萝卜；大头冲菜（腌渍蔬菜）；四川淡口菜（腌渍蔬菜）
乳及乳制品-->巴杀乳、灭菌乳、调制乳、高温杀菌乳,CAT_DAIRY,乳及乳制品,乳及乳制品,巴杀乳、灭菌乳、调制乳、高温杀菌乳,按原始乳品细类,原始分类指向乳及乳制品。,否,2376,纯牛奶；卓小牧有机儿童羊奶；纯牛奶（全脂超高温灭菌乳）；菊乐铁皮奶桶纯牛奶；脱脂纯牛奶；菊乐牛奶纯牛奶；高钙奶（调制乳）；高钙低脂奶
肉及肉制品-->猪肉,CAT_MEAT,肉及肉制品,肉及肉制品,猪肉,按原始肉类细类,原始分类指向肉及肉制品。,否,2351,猪后腿肉(猪肉)；二刀后腿肉(优质)(猪肉)；粮食猪后腿肉；猪前腿肉；猪肉；猪里脊肉；优鲜猪前腿肉；粮食猪前夹(猪肉)
粮食及其制品-->小麦粉,CAT_GRAIN_FLOUR,小麦粉,粮食及粮食制品,谷物粉类,小麦粉,产品名称/原始分类指向小麦粉。,否,2155,多用途麦芯小麦粉；面粉(小麦粉)；小麦粉(雪花粉)；家用小麦粉（小麦粉）；家庭用小麦粉；精白小麦粉(小麦粉)；金小麦高筋原粉(小麦粉)；自发小麦粉
蛋及蛋制品-->鲜蛋,CAT_EGG,蛋及蛋制品,蛋及蛋制品,鲜蛋,按原始蛋类细类,原始分类指向蛋及蛋制品。,否,2142,营养谷物蛋(鲜鸡蛋)；百岭咕屋五谷营养蛋（鸡蛋）；牧春山粮心鲜鸡蛋30枚；安心保洁蛋(鲜鸡蛋)；珍玮精品谷物蛋（鸡蛋）；谷物鲜鸡蛋；鲜鸡蛋；五谷蛋
蔬菜及其制品-->辣椒,CAT_VEG,辣椒,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：辣椒。,否,1952,二荆条辣椒；小米椒；螺丝椒；小米辣；小青椒；大青椒；二荆条(辣椒)；二青条(辣椒)
茶叶及相关制品-->茶叶,CAT_TEA,茶叶及相关制品,茶叶及相关制品,茶叶,按原始茶叶细类,原始分类指向茶叶及相关制品。,否,1764,蜀道毛尖；米仓山红茶（工夫红茶）；峨眉山毛峰·绿茶；炒青绿茶；花毛峰；早春绿茶（炒青绿茶）；绿毛峰（烘青绿茶）；春毛峰（烘青绿茶）
调味品-->复合调味料,CAT_SEASONING,调味品,调味品,复合调味料,按原始调味品细类,原始分类指向调味品。,否,1740,牛油火锅底料；红油辣子（复合调味料）；香辣双椒酱（复合调味料）；鱼蛙火锅底料；麻妙牛油火锅底料；火锅底料；巴牦火锅底料；手工全型火锅底料
淀粉及淀粉制品-->淀粉制品,CAT_STARCH,淀粉及淀粉制品,淀粉及淀粉制品,淀粉制品,按原始淀粉细类,原始分类指向淀粉及淀粉制品。,否,1568,粉条；火锅粉条；红薯粉条；宽粉条；白粉丝；米粉丝(自制)；米粉丝；粉条(餐饮自制)
水果及其制品-->香蕉,CAT_FRUIT,香蕉,水果及水果制品,鲜食水果,热带/亚热带水果,结合原始产品分类与产品名称进行水果细分；触发词：香蕉。,否,1527,香蕉；国产香蕉；海南香蕉；云南香蕉；皇帝蕉；香蕉T；佳农香蕉；精品香蕉
蔬菜及其制品-->干燥蔬菜,CAT_VEG,干燥蔬菜,蔬菜及蔬菜制品,蔬菜制品,干制/脱水蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：干燥蔬菜。,否,1487,烟笋（蔬菜干制品）；出口椒（干辣椒）；干山药；干山药片；干笋子；干笋子（蔬菜干制品）；电烤笋；云南小竹笋
坚果和籽类-->加工坚果与籽类,CAT_NUT_SEED,坚果和籽类,坚果和籽类,加工坚果与籽类,按原始坚果籽类细类,原始分类指向坚果和籽类。,否,1442,白味瓜子；白花生米；黑芝麻；红皮花生仁；蒜香花生；紫衣腰果（二级）；东北小花生；海盐花生
