产品类别,抽检总批次数,合格批次数,不合格批次数,AFB1相关记录数,AFB1相关不合格批次数,浓度可用记录数,不合格率,AFB1相关不合格率
含花生复合食品,202,197,5,5,4,5,0.024752475247524754,0.8
粮食及其制品-->其他粮食及其制品,2,2,0,0,0,0,0.0,
粮食及其制品-->大米及其制品-->大米,6,6,0,0,0,0,0.0,
粮食及其制品-->大米及其制品-->大米制品,5,5,0,0,0,0,0.0,
粮食及其制品-->小麦及其制品-->其他小麦粉制品,8,8,0,0,0,0,0.0,
粮食及其制品-->小麦及其制品-->挂面,1,1,0,0,0,0,0.0,
花生仁/炒货坚果,59619,58522,1097,1136,502,1046,0.0184001744410339,0.44190140845070425
花生油/油脂,29716,29111,605,738,241,584,0.020359402342172567,0.3265582655826558
花生调味/酱制品,117,116,1,0,0,1,0.008547008547008548,
餐饮-->其他餐饮环节产品,4632,4563,69,99,58,67,0.014896373056994818,0.5858585858585859
餐饮-->复合调味料,14,14,0,0,0,0,0.0,
餐饮-->米面及其制品,176,174,2,0,0,1,0.011363636363636364,
餐饮-->肉及肉制品,4,4,0,0,0,0,0.0,
餐饮-->蔬菜,8,6,2,2,2,2,0.25,1.0
餐饮-->餐饮具,10,10,0,0,0,0,0.0,
餐饮-->餐饮用油,21,21,0,0,0,0,0.0,
餐饮-->饮品,15,15,0,0,0,0,0.0,
