文件名,sheet,总行数,总列数,字段名,推断类型,缺失数,缺失率,唯一值数量,候选角色,样例值,是否候选主键
PEANUT2023-20241.xlsx,Sheet1,94714,32,序号,int64,0,0.0,627,其他字段,1；2；3；4；5,否
PEANUT2023-20241.xlsx,Sheet1,94714,32,产品分类,str,0,0.0,16,产品字段,坚果和籽类-->新鲜坚果与籽类；坚果和籽类-->新鲜坚果与籽类；坚果和籽类-->新鲜坚果与籽类；坚果和籽类-->新鲜坚果与籽类；坚果和籽类-->新鲜坚果与籽类,否
PEANUT2023-20241.xlsx,Sheet1,94714,32,产品名称,str,0,0.0,9037,产品字段,生干籽类（花生米）；散称花生米；生花生米；生花生米；生花生,否
PEANUT2023-20241.xlsx,Sheet1,94714,32,判定结果,str,0,0.0,2,判定结果字段,合格；合格；合格；合格；合格,否
PEANUT2023-20241.xlsx,Sheet1,94714,32,不合格项目分类,str,92933,0.981196,18,产品字段,质量指标；生物毒素；生物毒素；生物毒素；生物毒素,否
PEANUT2023-20241.xlsx,Sheet1,94714,32,不合格项目,str,92933,0.981196,64,不合格项目字段,酸价(以脂肪计)；黄曲霉毒素B₁；黄曲霉毒素B₁；黄曲霉毒素B₁；黄曲霉毒素B₁,否
PEANUT2023-20241.xlsx,Sheet1,94714,32,不合格规范列,str,92761,0.97938,35,不合格项目字段,酸价/酸值；黄曲霉毒素B₁；黄曲霉毒素B₁；黄曲霉毒素B₁；黄曲霉毒素B₁,否
PEANUT2023-20241.xlsx,Sheet1,94714,32,检测数值,object,92733,0.979084,1013,检测数值字段,10mg/g；88.98μg/kg；65.7μg/kg；41.5μg/kg；102μg/kg,否
PEANUT2023-20241.xlsx,Sheet1,94714,32,法规限制,object,93025,0.982167,98,法规限制字段,≤3mg/g；≤20μg/kg；20μg/kg；20μg/kg；20μg/kg,否
PEANUT2023-20241.xlsx,Sheet1,94714,32,规格型号,object,1720,0.01816,2446,其他字段,/；/；/；/；/,否
PEANUT2023-20241.xlsx,Sheet1,94714,32,商标,object,72995,0.770689,3111,其他字段,/；/；/；/；/,否
PEANUT2023-20241.xlsx,Sheet1,94714,32,生产日期,str,3326,0.035116,1150,时间字段,2022-09-23；2022-09-25；2022-09-11；2022-09-14；2022-09-15,否
PEANUT2023-20241.xlsx,Sheet1,94714,32,生产企业名称,object,545,0.005754,12974,产品字段,/；/；/；/；/,否
PEANUT2023-20241.xlsx,Sheet1,94714,32,生产企业地址,object,820,0.008658,14855,地区字段,/；/；/；/；/,否
