省份,年份,月份,年月,供应链环节,抽检总批次数,合格批次数,不合格批次数,AFB1相关记录数,AFB1相关不合格批次数,浓度可用记录数,不合格率,AFB1相关不合格率,数据完整性标记,年月排序,总体不合格_观测成功数,总体不合格_观测试验数,总体不合格_观测率,总体不合格_先验alpha,总体不合格_先验beta,总体不合格_先验均值,总体不合格_先验方差,总体不合格_先验95下限_正态近似,总体不合格_先验95上限_正态近似,总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,总体不合格_后验标准差,总体不合格_后验95下限_正态近似,总体不合格_后验95上限_正态近似,总体不合格_后验强度,总体不合格_风险等级_经验阈值,总体不合格_不确定性等级,总体不合格_较上期后验均值变化,总体不合格_本期是否更新,AFB1全样本不合格_观测成功数,AFB1全样本不合格_观测试验数,AFB1全样本不合格_观测率,AFB1全样本不合格_先验alpha,AFB1全样本不合格_先验beta,AFB1全样本不合格_先验均值,AFB1全样本不合格_先验方差,AFB1全样本不合格_先验95下限_正态近似,AFB1全样本不合格_先验95上限_正态近似,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1全样本不合格_后验标准差,AFB1全样本不合格_后验95下限_正态近似,AFB1全样本不合格_后验95上限_正态近似,AFB1全样本不合格_后验强度,AFB1全样本不合格_风险等级_经验阈值,AFB1全样本不合格_不确定性等级,AFB1全样本不合格_较上期后验均值变化,AFB1全样本不合格_本期是否更新,AFB1条件不合格_观测成功数,AFB1条件不合格_观测试验数,AFB1条件不合格_观测率,AFB1条件不合格_先验alpha,AFB1条件不合格_先验beta,AFB1条件不合格_先验均值,AFB1条件不合格_先验方差,AFB1条件不合格_先验95下限_正态近似,AFB1条件不合格_先验95上限_正态近似,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,AFB1条件不合格_后验标准差,AFB1条件不合格_后验95下限_正态近似,AFB1条件不合格_后验95上限_正态近似,AFB1条件不合格_后验强度,AFB1条件不合格_风险等级_经验阈值,AFB1条件不合格_不确定性等级,AFB1条件不合格_较上期后验均值变化,AFB1条件不合格_本期是否更新,状态ID,时间步序号,样本覆盖强度,AFB1记录覆盖强度,浓度可用率,总体观测不合格率,AFB1全样本观测不合格率,AFB1条件观测不合格率,belief_mdp_state_vector_columns
安徽,2024,1,2024-01,其他,1,0,1,1,1,1,1.0,1.0,基本完整,2024-01,1,1,1.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,2.0,1.0,0.6666666666666666,0.05555555555555555,0.23570226039551584,0.2046902362914556,1.0,3.0,高,高,,True,1,1,1.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,2.0,1.0,0.6666666666666666,0.05555555555555555,0.23570226039551584,0.2046902362914556,1.0,3.0,高,高,,True,1,1,1.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,2.0,1.0,0.6666666666666666,0.05555555555555555,0.23570226039551584,0.2046902362914556,1.0,3.0,高,高,,True,安徽|其他|2024-01,1,0.6931471805599453,0.6931471805599453,1.0,1.0,1.0,1.0,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率"
广西,2024,4,2024-04,其他,1,0,1,1,1,1,1.0,1.0,基本完整,2024-04,1,1,1.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,2.0,1.0,0.6666666666666666,0.05555555555555555,0.23570226039551584,0.2046902362914556,1.0,3.0,高,高,,True,1,1,1.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,2.0,1.0,0.6666666666666666,0.05555555555555555,0.23570226039551584,0.2046902362914556,1.0,3.0,高,高,,True,1,1,1.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,2.0,1.0,0.6666666666666666,0.05555555555555555,0.23570226039551584,0.2046902362914556,1.0,3.0,高,高,,True,广西|其他|2024-04,1,0.6931471805599453,0.6931471805599453,1.0,1.0,1.0,1.0,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率"
海南,2024,7,2024-07,餐饮,1,0,1,1,1,1,1.0,1.0,基本完整,2024-07,1,1,1.0,1.95,3.7074999999999996,0.34467520989836503,0.033927782137421404,0.0,0.7056973253693124,2.95,3.7074999999999996,0.44310927525347354,0.03222506633206856,0.17951341546544247,0.09126298094120633,0.7949555695657408,6.6575,高,高,0.10122893337313166,True,1,1,1.0,1.95,3.7074999999999996,0.34467520989836503,0.033927782137421404,0.0,0.7056973253693124,2.95,3.7074999999999996,0.44310927525347354,0.03222506633206856,0.17951341546544247,0.09126298094120633,0.7949555695657408,6.6575,高,高,0.10122893337313166,True,1,1,1.0,1.95,1.0,0.6610169491525423,0.05672747900901457,0.19419333860886984,1.0,2.95,1.0,0.7468354430379747,0.03819641698186803,0.19543903648418867,0.3637749315289649,1.0,3.95,高,高,0.08016877637130804,True,海南|餐饮|2024-07,3,0.6931471805599453,0.6931471805599453,1.0,1.0,1.0,1.0,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率"
海南,2023,9,2023-09,流通,1,1,0,0,0,0,0.0,,基本完整,2023-09,0,1,0.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,2.0,0.3333333333333333,0.05555555555555555,0.23570226039551584,0.0,0.7953097637085443,3.0,高,高,,True,0,1,0.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,2.0,0.3333333333333333,0.05555555555555555,0.23570226039551584,0.0,0.7953097637085443,3.0,高,高,,True,0,0,,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,1.0,0.5,0.08333333333333333,0.28867513459481287,0.0,1.0,2.0,高,高,,False,海南|流通|2023-09,1,0.6931471805599453,0.0,,0.0,0.0,,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率"
西藏,2024,12,2024-12,流通,1,1,0,0,0,0,0.0,,基本完整,2024-12,0,1,0.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,2.0,0.3333333333333333,0.05555555555555555,0.23570226039551584,0.0,0.7953097637085443,3.0,高,高,,True,0,1,0.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,2.0,0.3333333333333333,0.05555555555555555,0.23570226039551584,0.0,0.7953097637085443,3.0,高,高,,True,0,0,,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,1.0,0.5,0.08333333333333333,0.28867513459481287,0.0,1.0,2.0,高,高,,False,西藏|流通|2024-12,1,0.6931471805599453,0.0,,0.0,0.0,,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率"
进口,2023,11,2023-11,餐饮,1,1,0,0,0,0,0.0,,基本完整,2023-11,0,1,0.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,2.0,0.3333333333333333,0.05555555555555555,0.23570226039551584,0.0,0.7953097637085443,3.0,高,高,,True,0,1,0.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,2.0,0.3333333333333333,0.05555555555555555,0.23570226039551584,0.0,0.7953097637085443,3.0,高,高,,True,0,0,,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,1.0,0.5,0.08333333333333333,0.28867513459481287,0.0,1.0,2.0,高,高,,False,进口|餐饮|2023-11,1,0.6931471805599453,0.0,,0.0,0.0,,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率"
香港,2023,10,2023-10,流通,1,1,0,0,0,0,0.0,,基本完整,2023-10,0,1,0.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,2.0,0.3333333333333333,0.05555555555555555,0.23570226039551584,0.0,0.7953097637085443,3.0,高,高,,True,0,1,0.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,2.0,0.3333333333333333,0.05555555555555555,0.23570226039551584,0.0,0.7953097637085443,3.0,高,高,,True,0,0,,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,1.0,0.5,0.08333333333333333,0.28867513459481287,0.0,1.0,2.0,高,高,,False,香港|流通|2023-10,1,0.6931471805599453,0.0,,0.0,0.0,,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率"
宁夏,2023,11,2023-11,生产,1,1,0,0,0,0,0.0,,基本完整,2023-11,0,1,0.0,1.0,1.95,0.3389830508474576,0.05672747900901457,0.0,0.8058066613911301,1.0,2.95,0.2531645569620253,0.03819641698186803,0.19543903648418867,0.0,0.6362250684710351,3.95,高,高,-0.08016877637130804,True,0,1,0.0,1.0,1.95,0.3389830508474576,0.05672747900901457,0.0,0.8058066613911301,1.0,2.95,0.2531645569620253,0.03819641698186803,0.19543903648418867,0.0,0.6362250684710351,3.95,高,高,-0.08016877637130804,True,0,0,,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,1.0,0.5,0.08333333333333333,0.28867513459481287,0.0,1.0,2.0,高,高,0.0,False,宁夏|生产|2023-11,2,0.6931471805599453,0.0,,0.0,0.0,,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率"
青海,2024,11,2024-11,生产,1,1,0,0,0,0,0.0,,基本完整,2024-11,0,1,0.0,1.0,1.95,0.3389830508474576,0.05672747900901457,0.0,0.8058066613911301,1.0,2.95,0.2531645569620253,0.03819641698186803,0.19543903648418867,0.0,0.6362250684710351,3.95,高,高,-0.08016877637130804,True,0,1,0.0,1.0,1.95,0.3389830508474576,0.05672747900901457,0.0,0.8058066613911301,1.0,2.95,0.2531645569620253,0.03819641698186803,0.19543903648418867,0.0,0.6362250684710351,3.95,高,高,-0.08016877637130804,True,0,0,,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,1.0,0.5,0.08333333333333333,0.28867513459481287,0.0,1.0,2.0,高,高,0.0,False,青海|生产|2024-11,2,0.6931471805599453,0.0,,0.0,0.0,,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率"
台湾,2023,12,2023-12,流通,2,2,0,1,0,0,0.0,0.0,基本完整,2023-12,0,2,0.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,3.0,0.25,0.0375,0.19364916731037085,0.0,0.6295523679283268,4.0,高,高,,True,0,2,0.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,3.0,0.25,0.0375,0.19364916731037085,0.0,0.6295523679283268,4.0,高,高,,True,0,1,0.0,1.0,1.0,0.5,0.08333333333333333,0.0,1.0,1.0,2.0,0.3333333333333333,0.05555555555555555,0.23570226039551584,0.0,0.7953097637085443,3.0,高,高,,True,台湾|流通|2023-12,1,1.0986122886681098,0.6931471805599453,0.0,0.0,0.0,0.0,"总体不合格_后验alpha,总体不合格_后验beta,总体不合格_后验均值,总体不合格_后验方差,AFB1全样本不合格_后验alpha,AFB1全样本不合格_后验beta,AFB1全样本不合格_后验均值,AFB1全样本不合格_后验方差,AFB1条件不合格_后验alpha,AFB1条件不合格_后验beta,AFB1条件不合格_后验均值,AFB1条件不合格_后验方差,抽检总批次数,AFB1相关记录数,浓度可用记录数,样本覆盖强度,AFB1记录覆盖强度,浓度可用率"
