省份,抽检总批次数,合格批次数,不合格批次数,AFB1相关记录数,AFB1相关不合格批次数,浓度可用记录数,不合格率,AFB1相关不合格率
上海,182,181,1,0,0,1,0.005494505494505495,
不详,24010,23385,625,738,381,593,0.02603082049146189,0.516260162601626
云南,697,688,9,6,5,9,0.01291248206599713,0.8333333333333334
内蒙古,366,362,4,1,1,4,0.01092896174863388,1.0
北京,139,135,4,1,1,4,0.02877697841726619,1.0
台湾,2,2,0,1,0,0,0.0,0.0
吉林,835,831,4,0,0,3,0.004790419161676647,
四川,1651,1626,25,7,6,25,0.015142337976983646,0.8571428571428571
天津,521,517,4,1,0,4,0.007677543186180422,0.0
宁夏,94,94,0,0,0,0,0.0,
安徽,3711,3685,26,45,11,26,0.007006197790353005,0.24444444444444444
山东,9854,9774,80,101,43,75,0.008118530545971179,0.42574257425742573
山西,538,523,15,8,8,15,0.027881040892193308,1.0
广东,12046,11903,143,565,35,132,0.011871160551220322,0.061946902654867256
广西,11436,10998,438,169,161,435,0.03830010493179433,0.9526627218934911
新疆,377,369,8,1,1,8,0.021220159151193633,1.0
未知,2,2,0,0,0,0,0.0,
江苏,3642,3592,50,83,13,49,0.013728720483250962,0.1566265060240964
江西,1503,1489,14,12,4,12,0.009314703925482368,0.3333333333333333
河北,3577,3539,38,15,7,35,0.01062342745317305,0.4666666666666667
河南,5272,5170,102,98,76,97,0.019347496206373292,0.7755102040816326
浙江,1782,1758,24,14,9,24,0.013468013468013467,0.6428571428571429
海南,29,26,3,3,3,3,0.10344827586206896,1.0
湖北,1776,1752,24,19,10,20,0.013513513513513514,0.5263157894736842
湖南,1108,1099,9,9,3,9,0.008122743682310469,0.3333333333333333
甘肃,64,59,5,4,4,5,0.078125,1.0
福建,2944,2913,31,42,4,31,0.010529891304347826,0.09523809523809523
西藏,57,56,1,1,1,0,0.017543859649122806,1.0
贵州,785,757,28,16,15,27,0.035668789808917196,0.9375
辽宁,2470,2444,26,14,0,23,0.010526315789473684,0.0
进口,4,4,0,0,0,0,0.0,
重庆,1317,1297,20,1,0,20,0.015186028853454821,0.0
陕西,538,526,12,4,4,12,0.022304832713754646,1.0
青海,92,89,3,0,0,2,0.03260869565217391,
香港,1,1,0,0,0,0,0.0,
黑龙江,1134,1129,5,1,1,3,0.004409171075837742,1.0
