字段名,字段类型,含义,缺失率
序号,int64,其他字段,0.0
产品分类,str,产品字段,0.0
产品名称,str,产品字段,0.0
判定结果,str,判定结果字段,0.0
不合格项目分类,str,产品字段,0.981165
不合格项目,str,不合格项目字段,0.981165
不合格规范列,str,不合格项目字段,0.979346
检测数值,object,检测数值字段,0.979049
法规限制,object,法规限制字段,0.982138
规格型号,object,其他字段,0.017439
商标,object,其他字段,0.770305
生产日期,str,时间字段,0.035175
生产企业名称,object,产品字段,0.005764
生产企业地址,object,地区字段,0.008672
生产省份,str,地区字段,0.0
抽样单位名称,str,产品字段,0.004474
抽样单位地址,str,地区字段,0.053979
通报时间,str,时间字段,0.0
通报文号,str,其他字段,0.0
通报单位,str,地区字段,0.0
措施,str,其他字段,0.991338
来源链接,str,其他字段,0.690712
来源链接.1,str,其他字段,0.618924
检验项目,str,检测数值字段,0.986029
抽检级别,str,其他字段,0.0
检验机构,str,其他字段,0.736294
标准,str,其他字段,0.981662
备注,object,其他字段,0.910868
抽检环节,str,抽检环节字段,0.000127
是否属于网抽,str,其他字段,0.0
原始行号,int64,其他字段,0.0
是否重复记录,bool,其他字段,0.0
年份,Int64,其他字段,0.0
月份,Int64,其他字段,0.0
年月,str,时间字段,0.0
生产省份_清洗,str,地区字段,0.0
通报单位_清洗,str,地区字段,0.0
抽样地区_候选,str,地区字段,0.0
原始产品分类,str,产品字段,0.0
原始产品名称,str,产品字段,0.0
产品一级类,str,产品字段,0.0
产品二级类,str,产品字段,0.0
产品细分类,str,产品字段,0.0
抽检环节_清洗,str,抽检环节字段,0.0
供应链环节,str,抽检环节字段,0.0
生产企业_清洗,str,其他字段,0.0
生产企业地址_清洗,str,地区字段,0.0
抽样单位_清洗,str,其他字段,0.0
检验机构_清洗,str,其他字段,0.0
是否不合格,bool,其他字段,0.0
是否合格,bool,其他字段,0.0
不合格项目_标准化,str,不合格项目字段,0.0
是否AFB1相关,bool,AFB1相关字段,0.0
AFB1识别依据,str,AFB1相关字段,0.0
污染物名称_标准化,str,产品字段,0.0
污染物类别_标准化,str,其他字段,0.0
初检浓度值,float64,其他字段,0.981958
复检浓度值,float64,其他字段,0.999863
最终采用浓度值,float64,其他字段,0.981958
浓度单位,str,其他字段,0.0
浓度清洗状态,str,其他字段,0.0
原始检测数值,str,检测数值字段,0.0
法规限量_数值,float64,法规限制字段,0.983481
法规限量_单位,str,法规限制字段,0.0
法规限量解析状态,str,法规限制字段,0.0
是否检出,bool,其他字段,0.0
是否超标,bool,其他字段,0.0
超标倍数,float64,其他字段,0.983502
AFB1相关不合格,bool,AFB1相关字段,0.0
复核原因,str,其他字段,0.0
是否建议人工复核,bool,其他字段,0.0
