删除文件路径,保留文件路径,SHA256,删除原因,删除时间,是否确认重复
outputs/archive/cache_20260424/src/workflow1/__pycache__/cli.cpython-313.pyc,,ec69ba1b3610a217f0763bdb18e3b3d595eb99f63d05242a45cca8e4037cdfb1,临时缓存或锁文件,2026-04-24T23:56:53,True
outputs/archive/cache_20260424/src/workflow1/__pycache__/launch.cpython-313.pyc,,b5be921b3ec7658dc45fc50ce4d9e12361680ba27084ed7bca8a3d66cf735a7c,临时缓存或锁文件,2026-04-24T23:56:53,True
outputs/archive/cache_20260424/src/workflow1/__pycache__/orchestration.cpython-313.pyc,,5106f7d475466bcd2851df74372a221ed70a6468f2502a5dd8d5b4af40c99402,临时缓存或锁文件,2026-04-24T23:56:53,True
outputs/archive/cache_20260424/src/workflow1/__pycache__/__init__.cpython-313.pyc,,9aa8ebc4f6dbd93708860022f0c45786a86cb0b6991cd6049e2e5636ca610cf6,临时缓存或锁文件,2026-04-24T23:56:53,True
outputs/archive/cache_20260424/src/workflow1/__pycache__/__main__.cpython-313.pyc,,2e4dcbd473c564ec7e3b4c895c0c929e038eab0b2222794f6bf6459644900a61,临时缓存或锁文件,2026-04-24T23:56:53,True
outputs/archive/cache_20260424/src/workflow1/utils/__pycache__/io.cpython-313.pyc,,c6e0836eb901a114c2dd5e0c558d66174426b01729ff4b898927eff59a4360fa,临时缓存或锁文件,2026-04-24T23:56:53,True
outputs/archive/cache_20260424/src/workflow1/utils/__pycache__/logging.cpython-313.pyc,,3e4eea18ac1dd0de035730c990f074afeaf4ed86e71b9c24b799fedd282565c0,临时缓存或锁文件,2026-04-24T23:56:53,True
outputs/archive/cache_20260424/src/workflow1/utils/__pycache__/__init__.cpython-313.pyc,,12a7f3d05159b93571e739b852078bb9d0325a26143d13a28f271ba7d91aff41,临时缓存或锁文件,2026-04-24T23:56:53,True
outputs/archive/cache_20260424/src/workflow1/pipelines/__pycache__/runner.cpython-313.pyc,,33ea9df091e3bc348031920a8d2939d15cb23e77ea73f8926926eafce8efa6cc,临时缓存或锁文件,2026-04-24T23:56:53,True
outputs/archive/cache_20260424/src/workflow1/pipelines/__pycache__/__init__.cpython-313.pyc,,8b2fa88db70f3955e130401d651f366d69b411297f039c2c99111d09cad52c9a,临时缓存或锁文件,2026-04-24T23:56:53,True
