源文件路径,目标文件路径,操作,说明,是否canonical副本,时间
scripts/run_package_restructure.py,outputs/工作包/20260424_2356_工作流任务包机制重构/08_代码快照/run_package_restructure.py,copy,code snapshot for this restructuring task,False,2026-04-24T23:56:53
scripts/organize_workspace.py,outputs/工作包/20260424_2356_工作流任务包机制重构/08_代码快照/organize_workspace.py,copy,related workspace organizer snapshot,False,2026-04-24T23:56:53
data/03_primary/peanut_cleaned_analysis_ready.csv,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/01_数据输出/peanut_cleaned_analysis_ready.csv,copy,historical package: PEANUT数据清洗与风险底座,True,2026-04-24T23:56:53
data/03_primary/peanut_cleaned_analysis_ready.xlsx,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/01_数据输出/peanut_cleaned_analysis_ready.xlsx,copy,historical package: PEANUT数据清洗与风险底座,True,2026-04-24T23:56:53
reports/peanut_cleaning_report.md,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_cleaning_report.md,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/peanut_full_workflow_summary.md,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_full_workflow_summary.md,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/peanut_workflow_run_summary.json,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_workflow_run_summary.json,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/tables/peanut_data_quality_summary.csv,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_data_quality_summary.csv,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/tables/peanut_label_dictionary.csv,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_label_dictionary.csv,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/tables/peanut_variable_dictionary.csv,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_variable_dictionary.csv,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/tables/peanut_risk_summary_by_category.csv,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_risk_summary_by_category.csv,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/tables/peanut_risk_summary_by_region.csv,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_risk_summary_by_region.csv,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/tables/peanut_risk_summary_by_stage.csv,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_risk_summary_by_stage.csv,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/tables/peanut_risk_summary_by_year.csv,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_risk_summary_by_year.csv,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/figures/peanut_afb1_concentration_distribution.svg,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_afb1_concentration_distribution.svg,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/figures/peanut_afb1_record_distribution.svg,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_afb1_record_distribution.svg,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
