文件路径,文件类型,文件说明,是否关键输出,是否canonical副本,是否下游依赖,生成时间
outputs/工作包/20260424_2356_工作流任务包机制重构/00_输入说明/inputs.md,md,报告或说明文档,False,False,False,2026-04-24T23:56:55
outputs/工作包/20260424_2356_工作流任务包机制重构/02_表格输出/deleted_duplicates_log.csv,csv,任务文件,True,False,False,2026-04-24T23:56:55
outputs/工作包/20260424_2356_工作流任务包机制重构/02_表格输出/reorganized_files_log.csv,csv,任务文件,True,False,False,2026-04-24T23:56:55
outputs/工作包/20260424_2356_工作流任务包机制重构/02_表格输出/unclassified_unique_files_log.csv,csv,任务文件,True,False,False,2026-04-24T23:56:55
outputs/工作包/20260424_2356_工作流任务包机制重构/04_报告输出/workflow_run_package_restructure_report.md,md,报告或说明文档,True,False,False,2026-04-24T23:56:55
outputs/工作包/20260424_2356_工作流任务包机制重构/06_配置参数/run_package_policy_snapshot.md,md,报告或说明文档,True,False,False,2026-04-24T23:56:53
outputs/工作包/20260424_2356_工作流任务包机制重构/07_日志与错误/cli_stub_check_log.json,json,任务文件,False,False,False,2026-04-24T23:56:55
outputs/工作包/20260424_2356_工作流任务包机制重构/08_代码快照/organize_workspace.py,py,任务文件,False,False,False,2026-04-24T22:44:00
outputs/工作包/20260424_2356_工作流任务包机制重构/08_代码快照/run_package_restructure.py,py,任务文件,False,False,False,2026-04-24T23:56:45
outputs/工作包/20260424_2356_工作流任务包机制重构/README.md,md,报告或说明文档,False,False,False,2026-04-24T23:56:55
