序号,省份,年份,月份,年月,供应链环节,产品分类,产品名称,污染物名称_标准化,是否AFB1相关,AFB1识别依据,原始检测数值,初检浓度值,复检浓度值,最终采用浓度值,浓度单位,检测单位是否推断,原始法规限制,法规限量_数值,法规限量_单位,法规限量_比较符号,法规限量_单位是否推断,是否超标,超标倍数,浓度清洗状态,检测数值解析失败原因,法规限量解析状态,法规限量解析失败原因,是否建议人工复核,复核原因
9,不详,2023,2,2023-02,流通,花生仁/炒货坚果,生干籽类(大花生米),黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,88.98μg/kg,88.98,,88.98,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,4.449,已解析并统一单位,,已解析并统一单位,,False,
32,不详,2023,2,2023-02,流通,花生仁/炒货坚果,生花生米（生干坚果及其籽类食品）,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,65.7μg/kg,65.7,,65.7,μg/kg,False,20μg/kg,20.0,μg/kg,≤,False,True,3.285,已解析并统一单位,,已解析并统一单位,,False,
33,不详,2023,2,2023-02,流通,花生仁/炒货坚果,白沙花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,41.5μg/kg,41.5,,41.5,μg/kg,False,20μg/kg,20.0,μg/kg,≤,False,True,2.075,已解析并统一单位,,已解析并统一单位,,False,
37,不详,2023,2,2023-02,流通,花生仁/炒货坚果,生花生米（生干坚果与籽类食品）,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,102μg/kg,102.0,,102.0,μg/kg,False,20μg/kg,20.0,μg/kg,≤,False,True,5.1,已解析并统一单位,,已解析并统一单位,,False,
15,不详,2023,2,2023-02,流通,花生仁/炒货坚果,生花生米（生干坚果与籽类食品）,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,41.5μg/kg,41.5,,41.5,μg/kg,False,20μg/kg,20.0,μg/kg,≤,False,True,2.075,已解析并统一单位,,已解析并统一单位,,False,
11,不详,2023,2,2023-02,流通,花生仁/炒货坚果,生花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,初检结果：128μg/kg复检结果：51.8μg/kg,128.0,51.8,51.8,μg/kg,False,≤20,20.0,μg/kg,≤,True,True,2.59,初检复检均解析，最终采用复检值,,已解析并统一单位,,False,
23,不详,2023,3,2023-03,流通,花生仁/炒货坚果,生花生米（生干坚果与籽类食品）,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,91.2μg/kg,91.2,,91.2,μg/kg,False,20μg/kg,20.0,μg/kg,≤,False,True,4.5600000000000005,已解析并统一单位,,已解析并统一单位,,False,
24,不详,2023,3,2023-03,流通,花生仁/炒货坚果,生花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,125μg/kg,125.0,,125.0,μg/kg,False,20μg/kg,20.0,μg/kg,≤,False,True,6.25,已解析并统一单位,,已解析并统一单位,,False,
8,不详,2023,3,2023-03,流通,花生仁/炒货坚果,生花生仁（花生米）,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,81.4μg/kg,81.4,,81.4,μg/kg,False,20μg/kg,20.0,μg/kg,≤,False,True,4.07,已解析并统一单位,,已解析并统一单位,,False,
9,不详,2023,3,2023-03,流通,花生仁/炒货坚果,生花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,50.9μg/kg,50.9,,50.9,μg/kg,False,20μg/kg,20.0,μg/kg,≤,False,True,2.545,已解析并统一单位,,已解析并统一单位,,False,
1,不详,2023,3,2023-03,流通,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
2,不详,2023,3,2023-03,流通,花生仁/炒货坚果,东北红皮花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
3,不详,2023,3,2023-03,流通,花生仁/炒货坚果,白皮花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
4,不详,2023,3,2023-03,流通,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
5,不详,2023,3,2023-03,流通,花生仁/炒货坚果,红花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
6,不详,2023,3,2023-03,流通,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
7,不详,2023,3,2023-03,流通,花生仁/炒货坚果,红皮花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
8,不详,2023,3,2023-03,流通,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
9,不详,2023,3,2023-03,流通,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
10,不详,2023,3,2023-03,流通,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
11,不详,2023,3,2023-03,流通,花生仁/炒货坚果,东北红皮花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
