省份,年份,月份,年月,供应链环节,样本量,均值,中位数,P75,P90,P95,最大值,lognormal_mu,lognormal_sigma,是否适合MonteCarlo模拟
不详,2023,1,2023-01,流通,2,232.0,232.0,292.0,328.0,340.0,352.0,5.2910650234465955,0.8097308177284303,不适合/样本不足
不详,2023,2,2023-02,流通,12,106.61500000000001,62.849999999999994,92.235,147.9,310.94999999999976,504.0,4.346164614133769,0.7025484983851167,较适合
不详,2023,3,2023-03,流通,4,87.125,86.30000000000001,99.65,114.86000000000001,119.92999999999999,125.0,4.41765170773689,0.37238734184639055,可探索但样本偏少
不详,2023,4,2023-04,流通,3,98.39999999999999,39.8,133.9,190.36,209.17999999999998,228.0,4.1412518515462855,1.131031329327355,可探索但样本偏少
不详,2023,5,2023-05,流通,4,94.925,105.0,116.5,128.20000000000002,132.1,136.0,4.433950818718719,0.6243390430459883,可探索但样本偏少
不详,2023,6,2023-06,流通,4,92.075,81.4,105.525,132.21,141.105,150.0,4.453157429065159,0.42236398255868196,可探索但样本偏少
不详,2023,7,2023-07,流通,10,135.451,82.15,186.0,260.3999999999999,329.6999999999998,399.0,4.282163178362682,1.6846629828170365,较适合
不详,2023,7,2023-07,餐饮,1,96.0,96.0,96.0,96.0,96.0,96.0,,,不适合/样本不足
不详,2023,8,2023-08,流通,6,109.21666666666665,109.1,139.25,165.5,175.75,186.0,4.580754343619083,0.5414937111089018,可探索但样本偏少
不详,2023,9,2023-09,流通,6,89.89999999999999,93.65,113.25,120.0,123.0,126.0,4.443159766822897,0.3741138767147274,可探索但样本偏少
不详,2023,10,2023-10,流通,16,178.75,115.5,283.25,414.0,454.25,458.0,4.78013663672794,0.9984226635479532,较适合
不详,2023,10,2023-10,生产,1,43.5,43.5,43.5,43.5,43.5,43.5,,,不适合/样本不足
不详,2023,10,2023-10,餐饮,2,146.15,146.15,216.075,258.03000000000003,272.015,286.0,3.7482707221086695,2.697925036880521,不适合/样本不足
不详,2023,11,2023-11,流通,22,118.78181818181817,82.8,112.0,189.4,265.04999999999995,701.0,4.392134436219969,0.8378072846216045,较适合
