省份,省份_规范,年份,人群类别,消费量单位,平均消费量_g_day,平均消费量_kg_day,P95或高消费量_g_day,P95或高消费量_kg_day,SampleCount,Contaminated sample,Mean_concentration_MP(ug/kg),BodyWeight (kg),消费量匹配方式,消费量匹配置信度,是否建议人工复核,复核原因
上海市,上海,2015,总人群/未分层,g/day,2.51,0.0025099999999999996,,,49,3.0,36.1466666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
上海市,上海,2016,总人群/未分层,g/day,2.51,0.0025099999999999996,,,106,4.0,36.1466666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
上海市,上海,2017,总人群/未分层,g/day,2.51,0.0025099999999999996,,,106,,36.1466666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
上海市,上海,2018,总人群/未分层,g/day,2.51,0.0025099999999999996,,,146,1.0,36.1466666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
上海市,上海,2019,总人群/未分层,g/day,2.51,0.0025099999999999996,,,165,2.0,36.1466666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
上海市,上海,2020,总人群/未分层,g/day,2.51,0.0025099999999999996,,,163,,36.1466666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
上海市,上海,2021,总人群/未分层,g/day,2.51,0.0025099999999999996,,,138,1.0,36.1466666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
上海市,上海,2022,总人群/未分层,g/day,2.51,0.0025099999999999996,,,28,1.0,36.1466666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
云南省,云南,2015,总人群/未分层,g/day,3.5,0.0035,,,8,,155.513043478261,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
云南省,云南,2016,总人群/未分层,g/day,3.5,0.0035,,,24,3.0,155.513043478261,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
