省份,年份,月份,年月,供应链环节,抽检总批次数,合格批次数,不合格批次数,AFB1相关记录数,AFB1相关不合格批次数,浓度可用记录数,不合格率,AFB1相关不合格率,数据完整性标记
上海,2023,1,2023-01,流通,1,1,0,0,0,0,0.0,,基本完整
上海,2023,2,2023-02,流通,6,6,0,0,0,0,0.0,,基本完整
上海,2023,3,2023-03,流通,14,14,0,0,0,0,0.0,,基本完整
上海,2023,3,2023-03,生产,7,7,0,0,0,0,0.0,,基本完整
上海,2023,4,2023-04,流通,6,6,0,0,0,0,0.0,,基本完整
上海,2023,4,2023-04,餐饮,1,1,0,0,0,0,0.0,,基本完整
上海,2023,5,2023-05,流通,15,15,0,0,0,0,0.0,,基本完整
上海,2023,5,2023-05,餐饮,2,2,0,0,0,0,0.0,,基本完整
上海,2023,6,2023-06,流通,8,8,0,0,0,0,0.0,,基本完整
上海,2023,6,2023-06,生产,6,6,0,0,0,0,0.0,,基本完整
上海,2023,7,2023-07,流通,4,4,0,0,0,0,0.0,,基本完整
上海,2023,7,2023-07,餐饮,1,1,0,0,0,0,0.0,,基本完整
上海,2023,8,2023-08,流通,5,4,1,0,0,0,0.2,,基本完整
上海,2023,8,2023-08,生产,1,1,0,0,0,0,0.0,,基本完整
上海,2023,8,2023-08,餐饮,1,1,0,0,0,0,0.0,,基本完整
上海,2023,9,2023-09,流通,10,10,0,0,0,0,0.0,,基本完整
上海,2023,10,2023-10,流通,4,4,0,0,0,0,0.0,,基本完整
上海,2023,11,2023-11,流通,7,7,0,0,0,0,0.0,,基本完整
上海,2023,11,2023-11,餐饮,4,4,0,0,0,0,0.0,,基本完整
上海,2023,12,2023-12,流通,10,10,0,0,0,0,0.0,,基本完整
上海,2023,12,2023-12,餐饮,1,1,0,0,0,0,0.0,,基本完整
上海,2024,1,2024-01,流通,5,5,0,0,0,0,0.0,,基本完整
上海,2024,2,2024-02,流通,3,3,0,0,0,0,0.0,,基本完整
上海,2024,3,2024-03,流通,5,5,0,0,0,0,0.0,,基本完整
上海,2024,4,2024-04,流通,5,5,0,0,0,0,0.0,,基本完整
上海,2024,5,2024-05,流通,3,3,0,0,0,0,0.0,,基本完整
上海,2024,6,2024-06,流通,2,2,0,0,0,0,0.0,,基本完整
上海,2024,6,2024-06,生产,2,2,0,0,0,0,0.0,,基本完整
上海,2024,6,2024-06,餐饮,1,1,0,0,0,0,0.0,,基本完整
上海,2024,7,2024-07,流通,5,5,0,0,0,0,0.0,,基本完整
上海,2024,7,2024-07,生产,5,5,0,0,0,0,0.0,,基本完整
上海,2024,8,2024-08,流通,1,1,0,0,0,0,0.0,,基本完整
上海,2024,9,2024-09,流通,5,5,0,0,0,0,0.0,,基本完整
上海,2024,9,2024-09,生产,1,1,0,0,0,0,0.0,,基本完整
上海,2024,10,2024-10,流通,3,3,0,0,0,0,0.0,,基本完整
