Province,省份_规范,年份,人群类别,人口原始值,人口单位,人口数_人,是否长表结构,人口匹配方式,人口匹配置信度,是否建议人工复核,复核原因
Beijing,北京,2024,总人口/未分层,2183,万人（根据中国省级人口量级推断）,21830000,True,原始省份-年份记录,高,False,
Tianjin,天津,2024,总人口/未分层,1364,万人（根据中国省级人口量级推断）,13640000,True,原始省份-年份记录,高,False,
Hebei,河北,2024,总人口/未分层,7378,万人（根据中国省级人口量级推断）,73780000,True,原始省份-年份记录,高,False,
Shanxi,山西,2024,总人口/未分层,3446,万人（根据中国省级人口量级推断）,34460000,True,原始省份-年份记录,高,False,
Inner Mongolia,内蒙古,2024,总人口/未分层,2388,万人（根据中国省级人口量级推断）,23880000,True,原始省份-年份记录,高,False,
Liaoning,辽宁,2024,总人口/未分层,4155,万人（根据中国省级人口量级推断）,41550000,True,原始省份-年份记录,高,False,
Jilin,吉林,2024,总人口/未分层,2317,万人（根据中国省级人口量级推断）,23170000,True,原始省份-年份记录,高,False,
Heilongjiang,黑龙江,2024,总人口/未分层,3029,万人（根据中国省级人口量级推断）,30290000,True,原始省份-年份记录,高,False,
Shanghai,上海,2024,总人口/未分层,2480,万人（根据中国省级人口量级推断）,24800000,True,原始省份-年份记录,高,False,
Jiangsu,江苏,2024,总人口/未分层,8526,万人（根据中国省级人口量级推断）,85260000,True,原始省份-年份记录,高,False,
Zhejiang,浙江,2024,总人口/未分层,6670,万人（根据中国省级人口量级推断）,66700000,True,原始省份-年份记录,高,False,
Anhui,安徽,2024,总人口/未分层,6123,万人（根据中国省级人口量级推断）,61230000,True,原始省份-年份记录,高,False,
Fujian,福建,2024,总人口/未分层,4193,万人（根据中国省级人口量级推断）,41930000,True,原始省份-年份记录,高,False,
Jiangxi,江西,2024,总人口/未分层,4502,万人（根据中国省级人口量级推断）,45020000,True,原始省份-年份记录,高,False,
Shandong,山东,2024,总人口/未分层,10080,万人（根据中国省级人口量级推断）,100800000,True,原始省份-年份记录,高,False,
Henan,河南,2024,总人口/未分层,9785,万人（根据中国省级人口量级推断）,97850000,True,原始省份-年份记录,高,False,
Hubei,湖北,2024,总人口/未分层,5834,万人（根据中国省级人口量级推断）,58340000,True,原始省份-年份记录,高,False,
Hunan,湖南,2024,总人口/未分层,6539,万人（根据中国省级人口量级推断）,65390000,True,原始省份-年份记录,高,False,
Guangdong,广东,2024,总人口/未分层,12780,万人（根据中国省级人口量级推断）,127800000,True,原始省份-年份记录,高,False,
Guangxi,广西,2024,总人口/未分层,5013,万人（根据中国省级人口量级推断）,50130000,True,原始省份-年份记录,高,False,
Hainan,海南,2024,总人口/未分层,1048,万人（根据中国省级人口量级推断）,10480000,True,原始省份-年份记录,高,False,
Chongqing,重庆,2024,总人口/未分层,3190,万人（根据中国省级人口量级推断）,31900000,True,原始省份-年份记录,高,False,
Sichuan,四川,2024,总人口/未分层,8364,万人（根据中国省级人口量级推断）,83640000,True,原始省份-年份记录,高,False,
Guizhou,贵州,2024,总人口/未分层,3860,万人（根据中国省级人口量级推断）,38600000,True,原始省份-年份记录,高,False,
Yunnan,云南,2024,总人口/未分层,4655,万人（根据中国省级人口量级推断）,46550000,True,原始省份-年份记录,高,False,
Tibet,西藏,2024,总人口/未分层,370,万人（根据中国省级人口量级推断）,3700000,True,原始省份-年份记录,高,False,
Shaanxi,陕西,2024,总人口/未分层,3953,万人（根据中国省级人口量级推断）,39530000,True,原始省份-年份记录,高,False,
Gansu,甘肃,2024,总人口/未分层,2458,万人（根据中国省级人口量级推断）,24580000,True,原始省份-年份记录,高,False,
Qinghai,青海,2024,总人口/未分层,593,万人（根据中国省级人口量级推断）,5930000,True,原始省份-年份记录,高,False,
Ningxia,宁夏,2024,总人口/未分层,729,万人（根据中国省级人口量级推断）,7290000,True,原始省份-年份记录,高,False,
Xinjiang,新疆,2024,总人口/未分层,2623,万人（根据中国省级人口量级推断）,26230000,True,原始省份-年份记录,高,False,
Beijing,北京,2023,总人口/未分层,2186,万人（根据中国省级人口量级推断）,21860000,True,原始省份-年份记录,高,False,
Tianjin,天津,2023,总人口/未分层,1364,万人（根据中国省级人口量级推断）,13640000,True,原始省份-年份记录,高,False,
Hebei,河北,2023,总人口/未分层,7393,万人（根据中国省级人口量级推断）,73930000,True,原始省份-年份记录,高,False,
Shanxi,山西,2023,总人口/未分层,3466,万人（根据中国省级人口量级推断）,34660000,True,原始省份-年份记录,高,False,
Inner Mongolia,内蒙古,2023,总人口/未分层,2396,万人（根据中国省级人口量级推断）,23960000,True,原始省份-年份记录,高,False,
Liaoning,辽宁,2023,总人口/未分层,4182,万人（根据中国省级人口量级推断）,41820000,True,原始省份-年份记录,高,False,
Jilin,吉林,2023,总人口/未分层,2339,万人（根据中国省级人口量级推断）,23390000,True,原始省份-年份记录,高,False,
Heilongjiang,黑龙江,2023,总人口/未分层,3062,万人（根据中国省级人口量级推断）,30620000,True,原始省份-年份记录,高,False,
Shanghai,上海,2023,总人口/未分层,2487,万人（根据中国省级人口量级推断）,24870000,True,原始省份-年份记录,高,False,
Jiangsu,江苏,2023,总人口/未分层,8526,万人（根据中国省级人口量级推断）,85260000,True,原始省份-年份记录,高,False,
Zhejiang,浙江,2023,总人口/未分层,6627,万人（根据中国省级人口量级推断）,66270000,True,原始省份-年份记录,高,False,
Anhui,安徽,2023,总人口/未分层,6121,万人（根据中国省级人口量级推断）,61210000,True,原始省份-年份记录,高,False,
Fujian,福建,2023,总人口/未分层,4183,万人（根据中国省级人口量级推断）,41830000,True,原始省份-年份记录,高,False,
Jiangxi,江西,2023,总人口/未分层,4515,万人（根据中国省级人口量级推断）,45150000,True,原始省份-年份记录,高,False,
Shandong,山东,2023,总人口/未分层,10123,万人（根据中国省级人口量级推断）,101230000,True,原始省份-年份记录,高,False,
Henan,河南,2023,总人口/未分层,9815,万人（根据中国省级人口量级推断）,98150000,True,原始省份-年份记录,高,False,
Hubei,湖北,2023,总人口/未分层,5838,万人（根据中国省级人口量级推断）,58380000,True,原始省份-年份记录,高,False,
Hunan,湖南,2023,总人口/未分层,6568,万人（根据中国省级人口量级推断）,65680000,True,原始省份-年份记录,高,False,
Guangdong,广东,2023,总人口/未分层,12706,万人（根据中国省级人口量级推断）,127060000,True,原始省份-年份记录,高,False,
Guangxi,广西,2023,总人口/未分层,5027,万人（根据中国省级人口量级推断）,50270000,True,原始省份-年份记录,高,False,
Hainan,海南,2023,总人口/未分层,1043,万人（根据中国省级人口量级推断）,10430000,True,原始省份-年份记录,高,False,
Chongqing,重庆,2023,总人口/未分层,3191,万人（根据中国省级人口量级推断）,31910000,True,原始省份-年份记录,高,False,
Sichuan,四川,2023,总人口/未分层,8368,万人（根据中国省级人口量级推断）,83680000,True,原始省份-年份记录,高,False,
Guizhou,贵州,2023,总人口/未分层,3865,万人（根据中国省级人口量级推断）,38650000,True,原始省份-年份记录,高,False,
Yunnan,云南,2023,总人口/未分层,4673,万人（根据中国省级人口量级推断）,46730000,True,原始省份-年份记录,高,False,
Tibet,西藏,2023,总人口/未分层,365,万人（根据中国省级人口量级推断）,3650000,True,原始省份-年份记录,高,False,
Shaanxi,陕西,2023,总人口/未分层,3952,万人（根据中国省级人口量级推断）,39520000,True,原始省份-年份记录,高,False,
Gansu,甘肃,2023,总人口/未分层,2465,万人（根据中国省级人口量级推断）,24650000,True,原始省份-年份记录,高,False,
Qinghai,青海,2023,总人口/未分层,594,万人（根据中国省级人口量级推断）,5940000,True,原始省份-年份记录,高,False,
Ningxia,宁夏,2023,总人口/未分层,729,万人（根据中国省级人口量级推断）,7290000,True,原始省份-年份记录,高,False,
Xinjiang,新疆,2023,总人口/未分层,2598,万人（根据中国省级人口量级推断）,25980000,True,原始省份-年份记录,高,False,
Beijing,北京,2022,总人口/未分层,2184,万人（根据中国省级人口量级推断）,21840000,True,原始省份-年份记录,高,False,
Tianjin,天津,2022,总人口/未分层,1363,万人（根据中国省级人口量级推断）,13630000,True,原始省份-年份记录,高,False,
Hebei,河北,2022,总人口/未分层,7420,万人（根据中国省级人口量级推断）,74200000,True,原始省份-年份记录,高,False,
Shanxi,山西,2022,总人口/未分层,3481,万人（根据中国省级人口量级推断）,34810000,True,原始省份-年份记录,高,False,
Inner Mongolia,内蒙古,2022,总人口/未分层,2401,万人（根据中国省级人口量级推断）,24010000,True,原始省份-年份记录,高,False,
Liaoning,辽宁,2022,总人口/未分层,4197,万人（根据中国省级人口量级推断）,41970000,True,原始省份-年份记录,高,False,
Jilin,吉林,2022,总人口/未分层,2348,万人（根据中国省级人口量级推断）,23480000,True,原始省份-年份记录,高,False,
Heilongjiang,黑龙江,2022,总人口/未分层,3099,万人（根据中国省级人口量级推断）,30990000,True,原始省份-年份记录,高,False,
Shanghai,上海,2022,总人口/未分层,2475,万人（根据中国省级人口量级推断）,24750000,True,原始省份-年份记录,高,False,
