sample_id,region,month,temperature_c,rainfall_mm,inspection_count,treatment_score,outcome_value
SYN001,North,1,8.2,21.0,12,0.20,18.4
SYN002,North,2,10.1,18.5,15,0.25,19.7
SYN003,North,3,13.4,25.2,18,0.35,23.1
SYN004,East,1,11.0,30.1,13,0.30,21.5
SYN005,East,2,13.2,34.4,17,0.45,26.2
SYN006,East,3,16.1,38.0,20,0.55,29.8
SYN007,South,1,18.4,45.5,14,0.50,31.0
SYN008,South,2,20.2,52.0,19,0.65,36.4
SYN009,South,3,23.5,60.3,23,0.72,42.1
SYN010,West,1,7.5,12.0,10,0.15,15.3
SYN011,West,2,9.0,15.8,12,0.22,17.6
SYN012,West,3,12.6,19.7,16,0.32,22.4
