省份,年月,供应链环节,状态ID,recommended_action_index,recommended_extra_sampling_batches,experimental_label,risk_score_proxy
上海,2023-01,流通,上海|流通|2023-01,1,1,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.23333333333333334
上海,2023-02,流通,上海|流通|2023-02,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.0782122905027933
上海,2023-03,流通,上海|流通|2023-03,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.03097002543966373
上海,2023-04,流通,上海|流通|2023-04,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.025387729566277824
上海,2023-05,流通,上海|流通|2023-05,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.01695171530926055
上海,2023-06,流通,上海|流通|2023-06,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.0147900650300011
上海,2023-07,流通,上海|流通|2023-07,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.014267482476771159
上海,2023-08,流通,上海|流通|2023-08,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.02223963391531756
上海,2023-09,流通,上海|流通|2023-09,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.0190378868134328
上海,2023-10,流通,上海|流通|2023-10,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.018324610936170885
上海,2023-11,流通,上海|流通|2023-11,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.01684885290968161
上海,2023-12,流通,上海|流通|2023-12,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.01495360896271685
上海,2024-01,流通,上海|流通|2024-01,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.014387242047666476
上海,2024-02,流通,上海|流通|2024-02,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.014254480521893171
上海,2024-03,流通,上海|流通|2024-03,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.013743654470288753
上海,2024-04,流通,上海|流通|2024-04,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.013277046270465196
上海,2024-05,流通,上海|流通|2024-05,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.01319442994519802
上海,2024-06,流通,上海|流通|2024-06,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.013294425573913205
上海,2024-07,流通,上海|流通|2024-07,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.01285339101970144
上海,2024-08,流通,上海|流通|2024-08,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.013144118369998155
上海,2024-09,流通,上海|流通|2024-09,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.012706885915060554
上海,2024-10,流通,上海|流通|2024-10,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.01264648581367696
上海,2024-11,流通,上海|流通|2024-11,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.011772605483763264
上海,2024-12,流通,上海|流通|2024-12,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.011601211913051995
上海,2023-03,生产,上海|生产|2023-03,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.07777777777777778
上海,2023-06,生产,上海|生产|2023-06,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.047781569965870296
上海,2023-08,生产,上海|生产|2023-08,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.04661228566672216
上海,2024-06,生产,上海|生产|2024-06,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.04276996631865153
上海,2024-07,生产,上海|生产|2024-07,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.03390110623547284
上海,2024-09,生产,上海|生产|2024-09,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.03379050427394817
上海,2024-11,生产,上海|生产|2024-11,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.025197906962630922
上海,2024-12,生产,上海|生产|2024-12,0,0,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.024569092467547675
