episode,total_reward,mean_loss,epsilon,mean_action,constraint_violation_rate,buffer_size,device,gpu
1,-476.84585175977577,0.0038970956560579126,0.995,3.51812865497076,0.0,1710,cuda,NVIDIA GeForce RTX 4060 Ti
2,-472.4783776083411,0.0022546110027987097,0.990025,3.4789473684210526,0.0,3420,cuda,NVIDIA GeForce RTX 4060 Ti
3,-487.50048742047954,0.0015937457973891815,0.985074875,3.5894736842105264,0.0,5130,cuda,NVIDIA GeForce RTX 4060 Ti
4,-467.2892432192957,0.0015601765936954022,0.9801495006250001,3.4771929824561405,0.0,6840,cuda,NVIDIA GeForce RTX 4060 Ti
5,-462.6494768631174,0.0016166019678246558,0.9752487531218751,3.4526315789473685,0.0,8550,cuda,NVIDIA GeForce RTX 4060 Ti
6,-471.84107993571706,0.0015597146854576605,0.9703725093562657,3.4678362573099415,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
7,-470.4220531458923,0.00154135910740016,0.9655206468094844,3.50233918128655,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
8,-441.1094713994911,0.0013719405683624826,0.960693043575437,3.3035087719298244,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
9,-455.0237685979311,0.001380520770704096,0.9558895783575597,3.404093567251462,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
10,-440.68908671767645,0.0014852544673880541,0.9511101304657719,3.297076023391813,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
11,-462.46503593097344,0.001523327459298668,0.946354579813443,3.4198830409356726,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
12,-475.58314738741154,0.0013965074714832825,0.9416228069143757,3.4994152046783626,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
13,-436.1901137644383,0.0013897404521268013,0.9369146928798039,3.2076023391812867,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
14,-439.9568540650488,0.0015287904298084119,0.9322301194154049,3.2906432748538013,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
15,-418.0349325022854,0.0015990555894013756,0.9275689688183278,3.1116959064327485,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
16,-424.92628710850914,0.0016028774785639022,0.9229311239742362,3.185964912280702,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
17,-447.9096154273505,0.0015329466134987838,0.918316468354365,3.363157894736842,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
18,-448.8257919520896,0.0015934503722693553,0.9137248860125932,3.3508771929824563,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
19,-429.1962008287769,0.0016019949435231912,0.9091562615825302,3.1830409356725147,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
20,-415.23060054425804,0.0014093242734411937,0.9046104802746175,3.1181286549707603,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
21,-418.1363481428699,0.0014243365981621526,0.9000874278732445,3.127485380116959,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
22,-419.75674768376444,0.0013953204469772992,0.8955869907338783,3.1707602339181284,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
23,-412.02564968345416,0.0013461746135181938,0.8911090557802088,3.1210526315789475,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
24,-422.11499088198923,0.001322509678831591,0.8866535105013078,3.165497076023392,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
25,-435.10482737953305,0.0012973413387060231,0.8822202429488013,3.2198830409356725,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
26,-413.0309215932876,0.0012337587399705045,0.8778091417340573,3.0830409356725146,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
27,-398.48107880861085,0.0013062790077559552,0.8734200960253871,3.0426900584795322,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
28,-437.2956919305628,0.0012215694316597492,0.8690529955452602,3.274269005847953,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
29,-406.5501083701923,0.0013212505123974233,0.8647077305675338,3.1023391812865495,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
30,-393.05921636880623,0.0014816534436717685,0.8603841919146962,3.0140350877192983,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
31,-397.24649125159476,0.0012224487139985008,0.8560822709551227,2.9725146198830408,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
32,-395.52522428917183,0.0012856252278046062,0.851801859600347,2.995906432748538,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
33,-398.7491505397822,0.001177067005644656,0.8475428503023453,3.0391812865497077,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
34,-412.8564618807242,0.0011480688526940516,0.8433051360508336,3.1210526315789475,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
35,-384.791727929077,0.0011817278733105285,0.8390886103705794,2.9497076023391813,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
36,-367.41632100530256,0.0012059307533958982,0.8348931673187264,2.8239766081871345,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
37,-371.81518060796986,0.0012712128134478395,0.8307187014821328,2.83859649122807,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
38,-384.05467043054165,0.0011835126072162903,0.8265651079747222,2.9239766081871346,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
39,-386.5477358034069,0.0013130387944361326,0.8224322824348486,2.9871345029239764,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
40,-408.56269932332424,0.0012886578328628366,0.8183201210226743,3.0976608187134502,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
41,-388.4277327695943,0.001244642049877847,0.8142285204175609,2.9590643274853803,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
42,-365.6300352691282,0.0011500980199365032,0.810157377815473,2.8216374269005846,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
43,-385.1780431436054,0.0012319490032703534,0.8061065909263957,2.935672514619883,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
44,-361.67720314262914,0.0013172709303928473,0.8020760579717637,2.797076023391813,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
45,-370.4054175542202,0.001215733179454256,0.798065677681905,2.8391812865497075,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
46,-360.069805861906,0.0012108571791499907,0.7940753492934954,2.763157894736842,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
47,-375.15056855619605,0.0012165415713805924,0.7901049725470279,2.8421052631578947,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
48,-347.3959678996738,0.0013223521239519097,0.7861544476842928,2.723391812865497,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
49,-366.0511315124816,0.001265504529253084,0.7822236754458713,2.7964912280701753,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
50,-383.1499340347124,0.0012145322808629576,0.778312557068642,2.9146198830409356,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
51,-341.7518168471898,0.0013223497005559405,0.7744209942832988,2.6555555555555554,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
52,-364.54633458345313,0.0012205470953652723,0.7705488893118823,2.7859649122807015,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
