删除文件路径,保留文件路径,SHA256,删除原因,删除时间,是否确认重复
data/03_primary/latest/peanut_cleaned_analysis_ready.csv,data/03_primary/peanut_cleaned_analysis_ready.csv,0808d10219c50d03cc3aff75d48ae123460a8ec5ed325eba58a9a9f89cfb4e19,latest 辅助副本与 canonical hash 完全一致,2026-04-25T00:20:13,True
data/03_primary/latest/peanut_cleaned_analysis_ready.xlsx,data/03_primary/peanut_cleaned_analysis_ready.xlsx,b0bf88850db0a09fb057671d037854480902ca01eb07af33f9979c356a6931ea,latest 辅助副本与 canonical hash 完全一致,2026-04-25T00:20:14,True
data/04_feature/latest/peanut_belief_mdp_state_features.csv,data/04_feature/peanut_belief_mdp_state_features.csv,a53c2d0eb9a0477cad564673fa77f8c301052338a847a73885fb36263ad5bbc1,latest 辅助副本与 canonical hash 完全一致,2026-04-25T00:20:14,True
data/04_feature/latest/peanut_belief_mdp_state_features_with_moe_edi.csv,data/04_feature/peanut_belief_mdp_state_features_with_moe_edi.csv,73fdfb65201f55928c2c71290a9f913119fb4aa7a90476bfc367e7ebcee66125,latest 辅助副本与 canonical hash 完全一致,2026-04-25T00:20:14,True
data/04_feature/latest/peanut_beta_binomial_belief_states.csv,data/04_feature/peanut_beta_binomial_belief_states.csv,a53c2d0eb9a0477cad564673fa77f8c301052338a847a73885fb36263ad5bbc1,latest 辅助副本与 canonical hash 完全一致,2026-04-25T00:20:14,True
data/04_feature/latest/peanut_bmdl_parameter_config.json,data/04_feature/peanut_bmdl_parameter_config.json,ded1cf6500ca3e88f188546f3518ed986d94690ac0351cd48bce11e353244897,latest 辅助副本与 canonical hash 完全一致,2026-04-25T00:20:14,True
data/04_feature/latest/peanut_bmdl_parameter_table.csv,data/04_feature/peanut_bmdl_parameter_table.csv,ec85435082e17706cc583d760b1da9ca76f6d8f647e25021079b64fda8eba670,latest 辅助副本与 canonical hash 完全一致,2026-04-25T00:20:14,True
data/04_feature/latest/peanut_concentration_clean_table.csv,data/04_feature/peanut_concentration_clean_table.csv,65fc55e0eb83f3c3800424ec9577d17654db9fdb0bf1ff37728066925aa896ee,latest 辅助副本与 canonical hash 完全一致,2026-04-25T00:20:14,True
data/04_feature/latest/peanut_concentration_distribution_summary.csv,data/04_feature/peanut_concentration_distribution_summary.csv,269eb47bed65c25dc8579b2004d512a3264bfa12a14132bb7efc98ff0e08c528,latest 辅助副本与 canonical hash 完全一致,2026-04-25T00:20:14,True
data/04_feature/latest/peanut_consumption_parameter_table.csv,data/04_feature/peanut_consumption_parameter_table.csv,ba6534032f5377dfc1fc8cba5ec9f32bad3ca69410d8a53c74d2471db70ee44b,latest 辅助副本与 canonical hash 完全一致,2026-04-25T00:20:14,True
data/04_feature/latest/peanut_count_panel.csv,data/04_feature/peanut_count_panel.csv,79162c683d43da20720fad1faba07c357f24cf8eeca66b5ca2ef4c8744d9e151,latest 辅助副本与 canonical hash 完全一致,2026-04-25T00:20:14,True
data/04_feature/latest/peanut_edi_moe_risk_summary.csv,data/04_feature/peanut_edi_moe_risk_summary.csv,f85671e95e12cc98d732c83733c69e9a375cd66dd7258445b1427e3a542a1da3,latest 辅助副本与 canonical hash 完全一致,2026-04-25T00:20:14,True
data/04_feature/latest/peanut_edi_moe_risk_table.csv,data/04_feature/peanut_edi_moe_risk_table.csv,726715a308ed9a0d61b7863da0b423251770dc1c4766b1d5363675059029767a,latest 辅助副本与 canonical hash 完全一致,2026-04-25T00:20:14,True
data/04_feature/latest/peanut_population_parameter_table.csv,data/04_feature/peanut_population_parameter_table.csv,a8c41006d289f38c90659dd418a59ffef4021b69ac7f0defaf59a8ba6bf31806,latest 辅助副本与 canonical hash 完全一致,2026-04-25T00:20:14,True
reports/peanut_beta_binomial_belief_update_report.md,outputs/工作包/20260424_2048_BetaBinomial信念更新/04_报告输出/peanut_beta_binomial_belief_update_report.md,3f587809d4429ddd00826c77de945b4a75ace140649d20b3e6a31d0ebadf5c57,移动目标已有 hash 相同副本,2026-04-25T00:20:14,True
reports/peanut_cleaning_report.md,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_cleaning_report.md,7f832f199ee23296b51a9efe02a93096e8426a77e7b113a01db9a0e11d0f8c10,移动目标已有 hash 相同副本,2026-04-25T00:20:14,True
reports/peanut_concentration_cleaning_report.md,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/04_报告输出/peanut_concentration_cleaning_report.md,1a315376a0c8c83ae686d0f3467e93ce40daa17067b524cb019e4719b3c2ed93,移动目标已有 hash 相同副本,2026-04-25T00:20:14,True
reports/peanut_full_workflow_summary.md,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_full_workflow_summary.md,97811b85b3bc128aa7c23ced436667af41283c32e3f9de215cc01c0155edffdb,移动目标已有 hash 相同副本,2026-04-25T00:20:14,True
reports/peanut_moe_edi_error_log.md,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/07_日志与错误/peanut_moe_edi_error_log.md,7caa279262e48093382cc70f28ab12169c2dc2a31172f040f6d33b0e7376dc1c,移动目标已有 hash 相同副本,2026-04-25T00:20:14,True
reports/peanut_upstream_repair_log.md,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/07_日志与错误/peanut_upstream_repair_log.md,ffc844d69a594f7b7b4db2d90b758b9c494163c138ceb44212a0e950329031ae,移动目标已有 hash 相同副本,2026-04-25T00:20:14,True
reports/peanut_upstream_verification_report.md,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/04_报告输出/peanut_upstream_verification_report.md,4abd5f30125c02724064870789d5209106110da47115941ff1f2f05c9828620a,移动目标已有 hash 相同副本,2026-04-25T00:20:14,True
reports/latest/peanut_beta_binomial_belief_update_report.md,outputs/工作包/20260424_2048_BetaBinomial信念更新/04_报告输出/peanut_beta_binomial_belief_update_report.md,3f587809d4429ddd00826c77de945b4a75ace140649d20b3e6a31d0ebadf5c57,移动目标已有 hash 相同副本,2026-04-25T00:20:14,True
reports/latest/peanut_cleaning_report.md,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_cleaning_report.md,7f832f199ee23296b51a9efe02a93096e8426a77e7b113a01db9a0e11d0f8c10,移动目标已有 hash 相同副本,2026-04-25T00:20:14,True
reports/latest/peanut_concentration_cleaning_report.md,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/04_报告输出/peanut_concentration_cleaning_report.md,1a315376a0c8c83ae686d0f3467e93ce40daa17067b524cb019e4719b3c2ed93,移动目标已有 hash 相同副本,2026-04-25T00:20:14,True
reports/latest/peanut_full_workflow_summary.md,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_full_workflow_summary.md,97811b85b3bc128aa7c23ced436667af41283c32e3f9de215cc01c0155edffdb,移动目标已有 hash 相同副本,2026-04-25T00:20:14,True
reports/latest/peanut_moe_edi_error_log.md,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/07_日志与错误/peanut_moe_edi_error_log.md,7caa279262e48093382cc70f28ab12169c2dc2a31172f040f6d33b0e7376dc1c,移动目标已有 hash 相同副本,2026-04-25T00:20:14,True
reports/latest/peanut_moe_edi_external_parameter_matching_report.md,reports/项目级索引与摘要/peanut_moe_edi_external_parameter_matching_report.md,f9b9324be0c75b0c414e3d2c818a582056913aedb8b35724ab168947b94e760f,移动目标已有 hash 相同副本,2026-04-25T00:20:14,True
reports/latest/peanut_pre_dqn_readiness_after_moe_edi.md,reports/项目级索引与摘要/peanut_pre_dqn_readiness_after_moe_edi.md,332b24b25f4bd3988c06bd2cd3a85c3da66607ade72595005afc0f85c6893f96,移动目标已有 hash 相同副本,2026-04-25T00:20:14,True
reports/latest/peanut_upstream_repair_log.md,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/07_日志与错误/peanut_upstream_repair_log.md,ffc844d69a594f7b7b4db2d90b758b9c494163c138ceb44212a0e950329031ae,移动目标已有 hash 相同副本,2026-04-25T00:20:14,True
reports/latest/peanut_upstream_verification_report.md,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/04_报告输出/peanut_upstream_verification_report.md,4abd5f30125c02724064870789d5209106110da47115941ff1f2f05c9828620a,移动目标已有 hash 相同副本,2026-04-25T00:20:14,True
