省份,年份,月份,年月,供应链环节,EDI记录数,EDI均值,EDI中位数,EDI_P95,MOE_default_均值,MOE_default_中位数,MOE_default_最小值,低于MOE阈值记录数,MOE风险惩罚项_均值,低于MOE阈值比例,MOE风险等级_主导
不详,2023,1,2023-01,流通,2,0.008236,0.008236,0.012069999999999999,17.405569782330346,17.405569782330346,8.402688860435338,2,0.994491908296731,1.0,低于阈值/需关注
不详,2023,2,2023-02,流通,12,0.0037848325000000003,0.002231175,0.011038724999999992,44.919843062322116,47.07902784741351,5.868544600938966,12,0.9857848597904044,1.0,低于阈值/需关注
不详,2023,3,2023-03,流通,4,0.0030929375,0.0030636500000000002,0.004257514999999999,37.63458062501157,34.38369125915456,23.661971830985916,4,0.9880903225870217,1.0,低于阈值/需关注
不详,2023,4,2023-04,流通,3,0.0034931999999999997,0.0014128999999999997,0.007425889999999998,65.07825407403298,74.31523816264422,12.972572275759823,3,0.9794056157993567,1.0,低于阈值/需关注
不详,2023,5,2023-05,流通,4,0.0033698375,0.0037275,0.00468955,41.49529071156497,28.23303457106274,21.748135874067938,4,0.9868685788887452,1.0,低于阈值/需关注
不详,2023,6,2023-06,流通,4,0.0032686625,0.0028897000000000003,0.0050092274999999995,36.66102250379453,36.81652540347791,19.718309859154928,4,0.9883984106000651,1.0,低于阈值/需关注
不详,2023,7,2023-07,流通,10,0.0048085105,0.002916325,0.011704349999999995,352.81840531980083,36.27135019367847,7.4128984432913265,9,0.8912052785666662,0.9,低于阈值/需关注
不详,2023,7,2023-07,餐饮,1,0.003408,0.003408,0.003408,30.809859154929576,30.809859154929576,30.809859154929576,1,0.9902500445712248,1.0,低于阈值/需关注
不详,2023,8,2023-08,流通,6,0.0038771916666666666,0.00387305,0.006239125,34.382344702569576,27.49481449550718,15.901862789641072,6,0.9891195111700729,1.0,低于阈值/需关注
不详,2023,9,2023-09,流通,6,0.00319145,0.003324575,0.004366500000000001,36.908896024787,32.705531477982696,23.474178403755865,6,0.9883199696124092,1.0,低于阈值/需关注
不详,2023,10,2023-10,流通,16,0.006345625000000001,0.00410025,0.016125875,39.33205699592717,25.66639506460249,6.457961744264715,16,0.9875531465202763,1.0,低于阈值/需关注
不详,2023,10,2023-10,生产,1,0.00154425,0.00154425,0.00154425,67.99417192812044,67.99417192812044,67.99417192812044,1,0.978482856984772,1.0,低于阈值/需关注
不详,2023,10,2023-10,餐饮,2,0.005188325,0.005188325,0.009656532499999999,239.91266949013428,239.91266949013428,10.341770905151188,2,0.9240782691486916,1.0,低于阈值/需关注
不详,2023,11,2023-11,流通,22,0.004216754545454545,0.0029393999999999996,0.009409274999999996,49.11009743129769,35.74242954457551,4.219324506238572,22,0.9844588299268046,1.0,低于阈值/需关注
不详,2023,11,2023-11,生产,1,0.00154425,0.00154425,0.00154425,67.99417192812044,67.99417192812044,67.99417192812044,1,0.978482856984772,1.0,低于阈值/需关注
不详,2023,11,2023-11,餐饮,5,0.00311761,0.0027122,0.005722599999999999,128.26784882490952,38.713959147555485,16.901408450704228,5,0.9594089085997123,1.0,低于阈值/需关注
不详,2023,12,2023-12,流通,33,0.005374269696969697,0.00342575,0.016521699999999986,55.00162085591913,30.650222578997298,3.0745805393692716,33,0.9825944237797724,1.0,低于阈值/需关注
不详,2023,12,2023-12,生产,3,0.0016531166666666666,0.0013418999999999998,0.002456955,73.40807322150413,78.2472613458529,40.684270686014294,3,0.9767695970818026,1.0,低于阈值/需关注
不详,2023,12,2023-12,餐饮,4,0.0010863,0.001066775,0.0012975249999999997,99.29055821240217,100.15808168823625,79.93909402360107,4,0.9685789372745564,1.0,低于阈值/需关注
不详,2024,1,2024-01,流通,11,0.006146986363636363,0.005253999999999999,0.012886499999999999,33.53339335888032,19.984773505900268,7.545271629778672,11,0.9893881666585821,1.0,低于阈值/需关注
不详,2024,1,2024-01,餐饮,2,0.006319,0.006319,0.0081082,18.44188290736432,18.44188290736432,12.639942217407006,2,0.9941639611052644,1.0,低于阈值/需关注
不详,2024,2,2024-02,流通,11,0.00658299090909091,0.00328375,0.017217499999999997,28.83526145139074,31.975637609440422,5.915492957746479,11,0.9908749172622181,1.0,低于阈值/需关注
不详,2024,2,2024-02,餐饮,1,0.0261635,0.0261635,0.0261635,4.013224530357177,4.013224530357177,4.013224530357177,1,0.9987299922372288,1.0,低于阈值/需关注
不详,2024,3,2024-03,其他,2,0.004464125,0.004464125,0.006772512499999999,35.111547221590655,35.111547221590655,14.938113529662825,2,0.9888887508792434,1.0,低于阈值/需关注
不详,2024,3,2024-03,流通,10,3.2765530850000006,0.023323499999999997,15.675024999999994,43.83625740215365,5.384530696410621,0.0055596738324684945,10,0.9861277666448881,1.0,低于阈值/需关注
不详,2024,4,2024-04,流通,17,0.0036281,0.0024495,0.0100678,50.947145134762124,42.86589099816289,9.793862512825296,17,0.9838774857168474,1.0,低于阈值/需关注
不详,2024,4,2024-04,餐饮,2,0.005396,0.005396,0.005396,19.45885841363973,19.45885841363973,19.45885841363973,2,0.9938421334134052,1.0,低于阈值/需关注
不详,2024,5,2024-05,流通,15,0.005262756666666666,0.0025773,0.016684999999999985,150.90313947692766,40.74030962635316,3.943661971830986,15,0.9522458419376811,1.0,低于阈值/需关注
不详,2024,5,2024-05,餐饮,5,0.00336611,0.00231105,0.0061273,45.50096775561164,45.433893684688776,16.16254906488109,5,0.9856009595710089,1.0,低于阈值/需关注
不详,2024,6,2024-06,流通,17,0.007097911764705882,0.007455,0.015946599999999988,30.84339290455804,14.08450704225352,3.902040209595303,17,0.9902394326251399,1.0,低于阈值/需关注
不详,2024,6,2024-06,餐饮,4,0.006558624999999999,0.00481025,0.011716774999999997,20.042077539695303,22.047235553269005,8.170570383627734,4,0.9936575703988306,1.0,低于阈值/需关注
不详,2024,7,2024-07,流通,19,0.010112081578947368,0.009265500000000001,0.019968749999999973,25.098267761496444,11.332361988020073,3.1906650257532245,19,0.9920575102020581,1.0,低于阈值/需关注
不详,2024,7,2024-07,餐饮,2,0.001293975,0.001293975,0.0013211324999999998,81.1894592545483,81.1894592545483,79.29615224861233,2,0.9743071331472948,1.0,低于阈值/需关注
不详,2024,8,2024-08,流通,19,0.004387426315789474,0.0029677999999999996,0.011019199999999998,40.97972340017295,35.379742570254066,8.67374333980422,19,0.9870317331012112,1.0,低于阈值/需关注
不详,2024,8,2024-08,餐饮,2,0.00495225,0.00495225,0.008546625,60.641627543035995,60.641627543035995,11.737089201877932,2,0.980809611537014,1.0,低于阈值/需关注
不详,2024,9,2024-09,流通,16,0.00534053125,0.00426,0.01180375,39.835026272775764,25.215229998919348,8.699254349627175,16,0.9873939790276026,1.0,低于阈值/需关注
不详,2024,9,2024-09,餐饮,4,0.00264475,0.00296425,0.003763,55.651010921700944,38.19545793162937,27.903268668615468,4,0.9823889205943984,1.0,低于阈值/需关注
不详,2024,10,2024-10,流通,15,0.00472221,0.00190635,0.015666149999999976,49.31214691038318,55.07907781886851,3.349656261464597,15,0.9843948902182332,1.0,低于阈值/需关注
不详,2024,10,2024-10,餐饮,4,0.0037177374999999998,0.0019365250000000001,0.008158609999999997,44.96809382820821,54.55196387069934,11.375947995666307,4,0.9857695905606936,1.0,低于阈值/需关注
不详,2024,11,2024-11,流通,16,0.00586326875,0.002188575,0.023332375,46.95596248287283,48.02952978583945,3.443243863647543,16,0.9851405182016225,1.0,低于阈值/需关注
不详,2024,11,2024-11,餐饮,4,0.0049584625,0.00488125,0.008395749999999999,35.95084845935372,22.102725045927738,11.830985915492958,4,0.9886231492217236,1.0,低于阈值/需关注
不详,2024,12,2024-12,流通,20,0.00398168,0.00255955,0.010941100000000007,45.662236724137486,41.022836045398606,4.801536491677337,20,0.9855499250872983,1.0,低于阈值/需关注
不详,2024,12,2024-12,餐饮,3,0.006160433333333333,0.0030459,0.013244339999999999,47.00962831851069,34.47256968383729,7.303077725612937,3,0.9851235353422435,1.0,低于阈值/需关注
云南,2023,11,2023-11,生产,1,0.004993333333333333,0.004993333333333333,0.004993333333333333,21.02803738317757,21.02803738317757,21.02803738317757,1,0.9933455577901337,1.0,低于阈值/需关注
云南,2023,12,2023-12,生产,1,0.004421666666666667,0.004421666666666667,0.004421666666666667,23.7467018469657,23.7467018469657,23.7467018469657,1,0.9924852209345045,1.0,低于阈值/需关注
云南,2023,12,2023-12,餐饮,2,0.006101666666666667,0.006101666666666667,0.008275166666666667,20.404889890757758,20.404889890757758,12.32876712328767,2,0.9935427563636843,1.0,低于阈值/需关注
云南,2024,4,2024-04,餐饮,1,0.0015983333333333333,0.0015983333333333333,0.0015983333333333333,65.69343065693431,65.69343065693431,65.69343065693431,1,0.9792109396655272,1.0,低于阈值/需关注
内蒙古,2024,2,2024-02,流通,1,0.009869999999999999,0.009869999999999999,0.009869999999999999,10.638297872340427,10.638297872340427,10.638297872340427,1,0.9966334500403986,1.0,低于阈值/需关注
北京,2024,8,2024-08,餐饮,1,0.009893333333333334,0.009893333333333334,0.009893333333333334,10.61320754716981,10.61320754716981,10.61320754716981,1,0.9966413900167185,1.0,低于阈值/需关注
四川,2023,4,2023-04,餐饮,1,0.003189766666666667,0.003189766666666667,0.003189766666666667,32.917768279811476,32.917768279811476,32.917768279811476,1,0.9895829847215787,1.0,低于阈值/需关注
四川,2023,12,2023-12,餐饮,1,0.005525,0.005525,0.005525,19.004524886877824,19.004524886877824,19.004524886877824,1,0.9939859098459247,1.0,低于阈值/需关注
四川,2024,1,2024-01,餐饮,1,0.006814166666666667,0.006814166666666667,0.006814166666666667,15.409074232603643,15.409074232603643,15.409074232603643,1,0.995123710685885,1.0,低于阈值/需关注
四川,2024,3,2024-03,餐饮,1,0.0037570000000000004,0.0037570000000000004,0.0037570000000000004,27.9478307159968,27.9478307159968,27.9478307159968,1,0.9911557497734188,1.0,低于阈值/需关注
四川,2024,5,2024-05,流通,1,0.0044936666666666675,0.0044936666666666675,0.0044936666666666675,23.36621912321044,23.36621912321044,23.36621912321044,1,0.9926056268597435,1.0,低于阈值/需关注
四川,2024,6,2024-06,生产,1,0.0019116500000000002,0.0019116500000000002,0.0019116500000000002,54.92637250542724,54.92637250542724,54.92637250542724,1,0.9826182365489154,1.0,低于阈值/需关注
安徽,2023,3,2023-03,流通,1,0.0016795999999999998,0.0016795999999999998,0.0016795999999999998,62.514884496308646,62.514884496308646,62.514884496308646,1,0.9802168087036998,1.0,低于阈值/需关注
安徽,2023,4,2023-04,流通,1,0.00104,0.00104,0.00104,100.96153846153847,100.96153846153847,100.96153846153847,1,0.9680501460564751,1.0,低于阈值/需关注
安徽,2023,5,2023-05,餐饮,1,0.0029119999999999997,0.0029119999999999997,0.0029119999999999997,36.057692307692314,36.057692307692314,36.057692307692314,1,0.9885893378773125,1.0,低于阈值/需关注
安徽,2023,11,2023-11,流通,2,0.0011063,0.0011063,0.0011144899999999999,94.91738666000424,94.91738666000424,94.13663259817106,2,0.9699628523227835,1.0,低于阈值/需关注
