序号,省份,年份,月份,年月,供应链环节,产品分类,产品名称,AFB1浓度_μg_kg_food,消费量_g_day,消费量_kg_day,消费量匹配方式,消费量匹配置信度,是否建议人工复核_消费量,消费量复核原因,体重_kg_bw,EDI_μg_kg_bw_day,MOE_low_bmdl,MOE_sensitive_bmdl,MOE_default_bmdl,MOE_high_bmdl,MOE_upper_bmdl,MOE_cutoff,是否低于MOE阈值,MOE风险等级,MOE风险惩罚项
9,不详,2023,2,2023-02,流通,花生仁/炒货坚果,生干籽类(大花生米),88.98,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0031587900000000003,15.82884585553329,20.89407652930394,33.240576296619906,50.01915290348519,59.83303733391583,3160.0,True,低于阈值/需关注,0.9894808302858797
32,不详,2023,2,2023-02,流通,花生仁/炒货坚果,生花生米（生干坚果及其籽类食品）,65.7,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00233235,21.437605848178876,28.297639719596116,45.018972281175635,67.74283448024525,81.03415010611614,3160.0,True,低于阈值/需关注,0.9857534897844381
33,不详,2023,2,2023-02,流通,花生仁/炒货坚果,白沙花生米,41.5,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00147325,33.93857118615307,44.79891396572204,71.27099949092143,107.24588494824368,128.28779908365857,3160.0,True,低于阈值/需关注,0.9774458862370502
37,不详,2023,2,2023-02,流通,花生仁/炒货坚果,生花生米（生干坚果与籽类食品）,102.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.003621,13.808340237503453,18.227009113504558,28.997514498757248,43.634355150510906,52.19552609776305,3160.0,True,低于阈值/需关注,0.9908235713611528
15,不详,2023,2,2023-02,流通,花生仁/炒货坚果,生花生米（生干坚果与籽类食品）,41.5,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00147325,33.93857118615307,44.79891396572204,71.27099949092143,107.24588494824368,128.28779908365857,3160.0,True,低于阈值/需关注,0.9774458862370502
11,不详,2023,2,2023-02,流通,花生仁/炒货坚果,生花生米,51.8,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0018388999999999999,27.19016803523846,35.89102180651477,57.099352874000765,85.92093099135353,102.77883517320137,3160.0,True,低于阈值/需关注,0.981930584533544
23,不详,2023,3,2023-03,流通,花生仁/炒货坚果,生花生米（生干坚果与籽类食品）,91.2,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0032376,15.443538423523597,20.38547071905115,32.431430689399555,48.801581418334564,58.376575240919195,3160.0,True,低于阈值/需关注,0.989736889022342
24,不详,2023,3,2023-03,流通,花生仁/炒货坚果,生花生米,125.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0044375,11.267605633802818,14.87323943661972,23.661971830985916,35.605633802816904,42.591549295774655,3160.0,True,低于阈值/需关注,0.9925120342307007
8,不详,2023,3,2023-03,流通,花生仁/炒货坚果,生花生仁（花生米）,81.4,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0028897000000000003,17.302834204242654,22.839741149600304,36.33595182890957,54.676956085406786,65.40471329203723,3160.0,True,低于阈值/需关注,0.9885012810668008
9,不详,2023,3,2023-03,流通,花生仁/炒货坚果,生花生米,50.9,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00180695,27.67093721464346,36.52563712332937,58.10896815075126,87.44016159827333,104.59614267135227,3160.0,True,低于阈值/需关注,0.9816110860282432
20,不详,2023,4,2023-04,流通,花生仁/炒货坚果,生花生米,228.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.008093999999999999,6.177415369409441,8.154188287620462,12.972572275759823,19.52063256733383,23.350630096367684,3160.0,True,低于阈值/需关注,0.9958947556089368
21,不详,2023,4,2023-04,流通,花生仁/炒货坚果,花生米,27.4,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0009727,51.40331037318804,67.8523696926082,107.94695178369487,162.4344607792742,194.30451321065078,3160.0,True,低于阈值/需关注,0.9658395722203498
16,不详,2023,4,2023-04,流通,花生仁/炒货坚果,生花生米,39.8,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0014128999999999997,35.388208648878205,46.71243541651923,74.31523816264422,111.82673933045511,133.7674286927596,3160.0,True,低于阈值/需关注,0.9764825195687835
13,不详,2023,1,2023-01,流通,花生仁/炒货坚果,花生,352.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.012496,4.001280409731114,5.281690140845071,8.402688860435338,12.64404609475032,15.124839948783611,3160.0,True,低于阈值/需关注,0.9973409212466977
6,不详,2023,5,2023-05,流通,花生仁/炒货坚果,生花生米,136.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.004828,10.35625517812759,13.670256835128418,21.748135874067938,32.725766362883185,39.14664457332229,3160.0,True,低于阈值/需关注,0.9931176785208646
16,不详,2023,5,2023-05,流通,花生仁/炒货坚果,大个花生米,110.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.003905,12.804097311139564,16.901408450704228,26.888604353393085,40.46094750320103,48.399487836107554,3160.0,True,低于阈值/需关注,0.9914909479894326
23,不详,2023,5,2023-05,流通,花生仁/炒货坚果,生花生米,33.7,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0011963499999999999,41.793789442888794,55.167802064613205,87.76695783006646,132.06837463952857,157.98052409411963,3160.0,True,低于阈值/需关注,0.972225646256308
13,不详,2023,5,2023-05,流通,花生仁/炒货坚果,花生米（中旺）,100.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0035499999999999998,14.084507042253524,18.59154929577465,29.577464788732396,44.50704225352113,53.23943661971831,3160.0,True,低于阈值/需关注,0.9906400427883758
31,不详,2023,6,2023-06,流通,花生仁/炒货坚果,花生米,150.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.005325,9.389671361502348,12.3943661971831,19.718309859154928,29.67136150234742,35.49295774647887,3160.0,True,低于阈值/需关注,0.9937600285255839
112,不详,2023,6,2023-06,流通,花生仁/炒货坚果,白皮花生,55.5,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00197025,25.37749016622256,33.49828701941378,53.29272934906737,80.19286892526328,95.92691282832126,3160.0,True,低于阈值/需关注,0.9831352122313077
25,不详,2023,6,2023-06,流通,花生仁/炒货坚果,生花生米,90.7,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0032198500000000002,15.528673695979625,20.497849278693106,32.61021476155721,49.07060887929562,58.69838657080298,3160.0,True,低于阈值/需关注,0.9896803117843174
120,不详,2023,6,2023-06,流通,花生仁/炒货坚果,散花生米,72.1,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00255955,19.534683831142196,25.7857826571077,41.022836045398606,61.72960090640933,73.8411048817175,3160.0,True,低于阈值/需关注,0.9870180898590512
35,不详,2023,7,2023-07,流通,花生仁/炒货坚果,花生米,89.2,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0031666,15.789806101181078,20.842544053559024,33.158592812480265,49.895787279732204,59.685467062464475,3160.0,True,低于阈值/需关注,0.9895067744264302
17,不详,2023,7,2023-07,流通,花生仁/炒货坚果,花生米,62.4,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0022152,22.571325388226796,29.794149512459374,47.39978331527627,71.32538822679668,85.31960996749729,3160.0,True,低于阈值/需关注,0.9850000685711151
19,不详,2023,7,2023-07,流通,花生仁/炒货坚果,红皮花生,399.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0141645,3.5299516396625368,4.659536164354549,7.4128984432913265,11.154647181333615,13.343217197924389,3160.0,True,低于阈值/需关注,0.9976541460622496
58,不详,2023,7,2023-07,流通,花生仁/炒货坚果,白皮花生,55.5,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00197025,25.37749016622256,33.49828701941378,53.29272934906737,80.19286892526328,95.92691282832126,3160.0,True,低于阈值/需关注,0.9831352122313077
82,不详,2023,7,2023-07,流通,花生仁/炒货坚果,红皮花生,75.1,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00266605,18.75433694041747,24.75572476135106,39.38410757487669,59.26370473171921,70.89139363477804,3160.0,True,低于阈值/需关注,0.9875366748180769
83,不详,2023,7,2023-07,流通,花生仁/炒货坚果,红皮花生米,245.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0086975,5.748778384593274,7.5883874676631216,12.072434607645874,18.166139695314744,21.730382293762574,3160.0,True,低于阈值/需关注,0.9961796093013779
3,不详,2023,7,2023-07,流通,花生仁/炒货坚果,生花生米,186.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0066029999999999995,7.572315614114797,9.995456610631532,15.901862789641072,23.92851734060276,28.623353021353932,3160.0,True,低于阈值/需关注,0.994967764939987
4,不详,2023,7,2023-07,流通,花生仁/炒货坚果,生花生米,186.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0066029999999999995,7.572315614114797,9.995456610631532,15.901862789641072,23.92851734060276,28.623353021353932,3160.0,True,低于阈值/需关注,0.994967764939987
38,不详,2023,7,2023-07,餐饮,花生仁/炒货坚果,花生米,96.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.003408,14.671361502347418,19.366197183098592,30.809859154929576,46.36150234741784,55.45774647887324,3160.0,True,低于阈值/需关注,0.9902500445712248
62,不详,2023,7,2023-07,流通,花生仁/炒货坚果,红皮花生,55.4,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0019667,25.423297910204912,33.558753241470484,53.38892561143031,80.33762139624751,96.10006610057457,3160.0,True,低于阈值/需关注,0.9831047703761296
83,不详,2023,8,2023-08,流通,花生仁/炒货坚果,生花生米,186.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0066029999999999995,7.572315614114797,9.995456610631532,15.901862789641072,23.92851734060276,28.623353021353932,3160.0,True,低于阈值/需关注,0.994967764939987
99,不详,2023,8,2023-08,流通,花生仁/炒货坚果,白花生米,96.2,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0034151,14.640859711282248,19.325934818892566,30.745805393692716,46.2651166876519,55.342449708646896,3160.0,True,低于阈值/需关注,0.9902703147488314
119,不详,2023,8,2023-08,流通,花生仁/炒货坚果,白皮花生,145.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0051475,9.713453132588635,12.821758135017,20.39825157843613,30.694511898980085,36.71685284118504,3160.0,True,低于阈值/需关注,0.9935448570954316
