文件路径,文件名,扩展名,所属目录,文件大小,修改时间,文件类型,初步分类,是否可能是原始数据,是否可能是canonical_latest,是否可能是历史产物,是否可能是临时文件,是否可能影响后续pipeline
reports/archive/20260424_整理前历史报告/category_reconstruction_summary_FINAL_SiChuan_2023_ALL_DATA.md,category_reconstruction_summary_FINAL_SiChuan_2023_ALL_DATA.md,.md,reports/archive/20260424_整理前历史报告,4848,2026-04-14T18:10:54,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/20260424_整理前历史报告/peanut_beta_binomial_error_log.md,peanut_beta_binomial_error_log.md,.md,reports/archive/20260424_整理前历史报告,174,2026-04-24T20:48:45,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/20260424_整理前历史报告/peanut_beta_binomial_run_summary.json,peanut_beta_binomial_run_summary.json,.json,reports/archive/20260424_整理前历史报告,1592,2026-04-24T20:48:45,config_or_json,报告/表格/图表,False,False,True,False,False
reports/archive/20260424_整理前历史报告/peanut_count_panel_report.md,peanut_count_panel_report.md,.md,reports/archive/20260424_整理前历史报告,2704,2026-04-24T20:48:45,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/20260424_整理前历史报告/peanut_eda_report.md,peanut_eda_report.md,.md,reports/archive/20260424_整理前历史报告,5406,2026-04-24T19:08:40,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/20260424_整理前历史报告/peanut_modeling_optimization_feasibility.md,peanut_modeling_optimization_feasibility.md,.md,reports/archive/20260424_整理前历史报告,2143,2026-04-24T19:08:40,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/20260424_整理前历史报告/peanut_pre_dqn_readiness_after_repair.md,peanut_pre_dqn_readiness_after_repair.md,.md,reports/archive/20260424_整理前历史报告,1252,2026-04-24T20:48:45,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/20260424_整理前历史报告/peanut_upstream_audit_summary.json,peanut_upstream_audit_summary.json,.json,reports/archive/20260424_整理前历史报告,311,2026-04-24T20:48:45,config_or_json,报告/表格/图表,False,False,True,False,False
reports/archive/20260424_整理前历史报告/peanut_visualization_report.md,peanut_visualization_report.md,.md,reports/archive/20260424_整理前历史报告,687,2026-04-24T19:08:40,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/20260424_整理前历史报告/peanut_workflow_error.md,peanut_workflow_error.md,.md,reports/archive/20260424_整理前历史报告,816,2026-04-24T19:09:16,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/20260424_整理前历史报告/readiness_audit_2026-04-24.md,readiness_audit_2026-04-24.md,.md,reports/archive/20260424_整理前历史报告,9534,2026-04-24T17:58:13,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/20260424_整理前历史报告/README.md,README.md,.md,reports/archive/20260424_整理前历史报告,193,2026-04-24T22:34:57,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/20260424_整理前历史报告/README_20260424_1777041323.md,README_20260424_1777041323.md,.md,reports/archive/20260424_整理前历史报告,193,2026-04-24T22:35:23,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/20260424_整理前历史报告/schema_inventory_PEANUT2023-20241.md,schema_inventory_PEANUT2023-20241.md,.md,reports/archive/20260424_整理前历史报告,8269,2026-04-24T19:06:31,markdown,报告/表格/图表,False,False,True,False,False
