action,source,destination,note,time
ensure_dir,outputs/20260424_全工作目录整理与规范化/data,,,2026-04-24T22:44:05
ensure_dir,outputs/20260424_全工作目录整理与规范化/reports,,,2026-04-24T22:44:05
ensure_dir,outputs/20260424_全工作目录整理与规范化/tables,,,2026-04-24T22:44:05
ensure_dir,outputs/20260424_全工作目录整理与规范化/figures,,,2026-04-24T22:44:05
ensure_dir,outputs/20260424_全工作目录整理与规范化/logs,,,2026-04-24T22:44:05
ensure_dir,outputs/20260424_全工作目录整理与规范化/configs,,,2026-04-24T22:44:05
ensure_dir,outputs/20260424_全工作目录整理与规范化/manifests,,,2026-04-24T22:44:05
ensure_dir,outputs/20260424_全工作目录整理与规范化/archive,,,2026-04-24T22:44:05
ensure_dir,.codex,,,2026-04-24T22:44:05
ensure_dir,.agents/skills,,,2026-04-24T22:44:05
ensure_dir,skills,,,2026-04-24T22:44:05
ensure_dir,src/workflow1,,,2026-04-24T22:44:05
ensure_dir,prompts,,,2026-04-24T22:44:05
ensure_dir,references/data_cleaning,,,2026-04-24T22:44:05
ensure_dir,references/modeling,,,2026-04-24T22:44:05
ensure_dir,references/visualization,,,2026-04-24T22:44:05
ensure_dir,references/literature,,,2026-04-24T22:44:05
ensure_dir,references/standards,,,2026-04-24T22:44:05
ensure_dir,references/notes,,,2026-04-24T22:44:05
ensure_dir,references/project_plan,,,2026-04-24T22:44:05
ensure_dir,references/processed_summaries,,,2026-04-24T22:44:05
ensure_dir,references/archive/unsorted,,,2026-04-24T22:44:05
ensure_dir,data/01_raw,,,2026-04-24T22:44:05
ensure_dir,data/02_intermediate/archive,,,2026-04-24T22:44:05
ensure_dir,data/03_primary/archive,,,2026-04-24T22:44:05
ensure_dir,data/04_feature/latest,,,2026-04-24T22:44:05
ensure_dir,data/04_feature/archive,,,2026-04-24T22:44:05
ensure_dir,data/05_model_input,,,2026-04-24T22:44:05
ensure_dir,data/05_model_input/archive,,,2026-04-24T22:44:05
ensure_dir,data/99_archive,,,2026-04-24T22:44:05
ensure_dir,reports/latest,,,2026-04-24T22:44:05
ensure_dir,reports/tables/latest,,,2026-04-24T22:44:05
ensure_dir,reports/tables/archive,,,2026-04-24T22:44:05
ensure_dir,reports/figures/latest,,,2026-04-24T22:44:05
ensure_dir,reports/figures/archive/unsorted,,,2026-04-24T22:44:05
ensure_dir,reports/archive,,,2026-04-24T22:44:05
ensure_dir,experiments/baselines,,,2026-04-24T22:44:05
ensure_dir,experiments/advanced,,,2026-04-24T22:44:05
ensure_dir,experiments/comparisons,,,2026-04-24T22:44:05
ensure_dir,experiments/optimization,,,2026-04-24T22:44:05
ensure_dir,experiments/archive,,,2026-04-24T22:44:05
ensure_dir,outputs/_index,,,2026-04-24T22:44:05
ensure_dir,outputs/archive/unsorted_root_files,,,2026-04-24T22:44:05
ensure_dir,project_state/archive,,,2026-04-24T22:44:05
write,data/README.md,,,2026-04-24T22:44:05
write,reports/README.md,,,2026-04-24T22:44:05
write,experiments/README.md,,,2026-04-24T22:44:05
write,outputs/README.md,,,2026-04-24T22:44:05
write,references/README.md,,,2026-04-24T22:44:05
write,reports/tables/README.md,,,2026-04-24T22:44:05
write,reports/figures/README.md,,,2026-04-24T22:44:05
write,reports/latest/README.md,,,2026-04-24T22:44:05
write,outputs/archive/README.md,,,2026-04-24T22:44:05
write,experiments/optimization/README.md,,,2026-04-24T22:44:05
write,references/literature/README.md,,,2026-04-24T22:44:05
write,references/standards/README.md,,,2026-04-24T22:44:05
write,references/notes/README.md,,,2026-04-24T22:44:05
write,references/data_cleaning/README.md,,,2026-04-24T22:44:05
write,references/modeling/README.md,,,2026-04-24T22:44:05
write,references/visualization/README.md,,,2026-04-24T22:44:05
copy,data/03_primary/peanut_cleaned_analysis_ready.csv,data/03_primary/latest/peanut_cleaned_analysis_ready.csv,canonical primary latest copy,2026-04-24T22:44:05
copy,data/03_primary/peanut_cleaned_analysis_ready.xlsx,data/03_primary/latest/peanut_cleaned_analysis_ready.xlsx,canonical primary latest copy,2026-04-24T22:44:05
copy,data/04_feature/peanut_count_panel.csv,data/04_feature/latest/peanut_count_panel.csv,canonical feature latest copy,2026-04-24T22:44:05
copy,data/04_feature/peanut_concentration_clean_table.csv,data/04_feature/latest/peanut_concentration_clean_table.csv,canonical feature latest copy,2026-04-24T22:44:05
copy,data/04_feature/peanut_concentration_distribution_summary.csv,data/04_feature/latest/peanut_concentration_distribution_summary.csv,canonical feature latest copy,2026-04-24T22:44:05
copy,data/04_feature/peanut_beta_binomial_belief_states.csv,data/04_feature/latest/peanut_beta_binomial_belief_states.csv,canonical feature latest copy,2026-04-24T22:44:05
copy,data/04_feature/peanut_belief_mdp_state_features.csv,data/04_feature/latest/peanut_belief_mdp_state_features.csv,canonical feature latest copy,2026-04-24T22:44:05
copy,data/04_feature/peanut_belief_mdp_state_features_with_moe_edi.csv,data/04_feature/latest/peanut_belief_mdp_state_features_with_moe_edi.csv,canonical feature latest copy,2026-04-24T22:44:05
copy,data/04_feature/peanut_bmdl_parameter_config.json,data/04_feature/latest/peanut_bmdl_parameter_config.json,canonical feature latest copy,2026-04-24T22:44:05
copy,data/04_feature/peanut_bmdl_parameter_table.csv,data/04_feature/latest/peanut_bmdl_parameter_table.csv,canonical feature latest copy,2026-04-24T22:44:05
copy,data/04_feature/peanut_consumption_parameter_table.csv,data/04_feature/latest/peanut_consumption_parameter_table.csv,canonical feature latest copy,2026-04-24T22:44:05
copy,data/04_feature/peanut_population_parameter_table.csv,data/04_feature/latest/peanut_population_parameter_table.csv,canonical feature latest copy,2026-04-24T22:44:05
copy,data/04_feature/peanut_edi_moe_risk_table.csv,data/04_feature/latest/peanut_edi_moe_risk_table.csv,canonical feature latest copy,2026-04-24T22:44:05
copy,data/04_feature/peanut_edi_moe_risk_summary.csv,data/04_feature/latest/peanut_edi_moe_risk_summary.csv,canonical feature latest copy,2026-04-24T22:44:05
write,data/01_raw/raw_data_inventory.csv,,7 rows,2026-04-24T22:44:05
copy,data/01_raw/raw_data_inventory.csv,outputs/20260424_全工作目录整理与规范化/tables/raw_data_inventory.csv,raw inventory synced to task output,2026-04-24T22:44:05
copy,reports/peanut_cleaning_report.md,reports/latest/peanut_cleaning_report.md,latest report copy,2026-04-24T22:44:05
copy,reports/peanut_concentration_cleaning_report.md,reports/latest/peanut_concentration_cleaning_report.md,latest report copy,2026-04-24T22:44:05
copy,reports/peanut_upstream_verification_report.md,reports/latest/peanut_upstream_verification_report.md,latest report copy,2026-04-24T22:44:05
