文件路径,文件名,文件类型,所属模块,所属任务,是否原始数据,是否canonical_latest,是否历史归档,是否下游依赖,修改日期,文件大小,简要说明
AGENTS.md,AGENTS.md,markdown,根目录/未归类,,False,True,False,True,2026-04-24T22:34:57,22196,workspace artifact
START_HERE.md,START_HERE.md,markdown,根目录/未归类,,False,True,False,True,2026-04-24T18:44:51,3313,workspace artifact
data/03_primary/latest/peanut_cleaned_analysis_ready.csv,peanut_cleaned_analysis_ready.csv,table,数据产物,,False,True,False,True,2026-04-24T20:47:48,75534597,workspace artifact
data/03_primary/latest/peanut_cleaned_analysis_ready.xlsx,peanut_cleaned_analysis_ready.xlsx,spreadsheet,数据产物,,False,True,False,True,2026-04-24T20:48:43,36921027,workspace artifact
data/03_primary/peanut_cleaned_analysis_ready.csv,peanut_cleaned_analysis_ready.csv,table,数据产物,,False,True,False,True,2026-04-24T20:47:48,75534597,workspace artifact
data/03_primary/peanut_cleaned_analysis_ready.xlsx,peanut_cleaned_analysis_ready.xlsx,spreadsheet,数据产物,,False,True,False,True,2026-04-24T20:48:43,36921027,workspace artifact
data/04_feature/latest/peanut_belief_mdp_state_features.csv,peanut_belief_mdp_state_features.csv,table,数据产物,,False,True,False,True,2026-04-24T20:48:44,2366094,belief-MDP 状态特征
data/04_feature/latest/peanut_belief_mdp_state_features_with_moe_edi.csv,peanut_belief_mdp_state_features_with_moe_edi.csv,table,数据产物,,False,True,False,True,2026-04-24T21:32:10,3070125,加入 MOE/EDI 的 belief-MDP 状态特征
data/04_feature/latest/peanut_beta_binomial_belief_states.csv,peanut_beta_binomial_belief_states.csv,table,数据产物,,False,True,False,True,2026-04-24T20:48:43,2366094,Beta-Binomial belief state 表
data/04_feature/latest/peanut_bmdl_parameter_config.json,peanut_bmdl_parameter_config.json,config_or_json,数据产物,,False,True,False,True,2026-04-24T21:32:08,1866,workspace artifact
data/04_feature/latest/peanut_bmdl_parameter_table.csv,peanut_bmdl_parameter_table.csv,table,数据产物,,False,True,False,True,2026-04-24T21:32:08,657,workspace artifact
data/04_feature/latest/peanut_concentration_clean_table.csv,peanut_concentration_clean_table.csv,table,数据产物,,False,True,False,True,2026-04-24T20:48:43,640824,AFB1 浓度清洗 canonical 表
data/04_feature/latest/peanut_concentration_distribution_summary.csv,peanut_concentration_distribution_summary.csv,table,数据产物,,False,True,False,True,2026-04-24T20:48:43,24831,workspace artifact
data/04_feature/latest/peanut_consumption_parameter_table.csv,peanut_consumption_parameter_table.csv,table,数据产物,,False,True,False,True,2026-04-24T21:32:08,51023,workspace artifact
data/04_feature/latest/peanut_count_panel.csv,peanut_count_panel.csv,table,数据产物,,False,True,False,True,2026-04-24T20:48:43,113789,省份-年月-环节计数面板
data/04_feature/latest/peanut_edi_moe_risk_summary.csv,peanut_edi_moe_risk_summary.csv,table,数据产物,,False,True,False,True,2026-04-24T21:32:08,40648,workspace artifact
data/04_feature/latest/peanut_edi_moe_risk_table.csv,peanut_edi_moe_risk_table.csv,table,数据产物,,False,True,False,True,2026-04-24T21:32:08,276390,EDI/MOE 风险明细
data/04_feature/latest/peanut_population_parameter_table.csv,peanut_population_parameter_table.csv,table,数据产物,,False,True,False,True,2026-04-24T21:32:08,45484,workspace artifact
data/04_feature/peanut_belief_mdp_state_features.csv,peanut_belief_mdp_state_features.csv,table,数据产物,,False,True,False,True,2026-04-24T20:48:44,2366094,belief-MDP 状态特征
