文件路径,文件名,扩展名,所属目录,文件大小,修改时间,文件类型,初步分类,是否可能是原始数据,是否可能是canonical_latest,是否可能是历史产物,是否可能是临时文件,是否可能影响后续pipeline
references/README.md,README.md,.md,references,263,2026-04-24T22:44:05,markdown,参考资料,False,False,False,False,False
references/reference_inventory.csv,reference_inventory.csv,.csv,references,2345,2026-04-24T22:43:23,table,参考资料,False,False,False,False,False
references/data_cleaning/.gitkeep,.gitkeep,,references/data_cleaning,1,2026-04-24T18:03:39,other,参考资料,False,False,False,False,False
references/data_cleaning/README.md,README.md,.md,references/data_cleaning,104,2026-04-24T22:44:05,markdown,参考资料,False,False,False,False,False
references/literature/.gitkeep,.gitkeep,,references/literature,1,2026-04-24T18:03:39,other,参考资料,False,False,False,False,False
references/literature/README.md,README.md,.md,references/literature,75,2026-04-24T22:44:05,markdown,参考资料,False,False,False,False,False
references/modeling/.gitkeep,.gitkeep,,references/modeling,1,2026-04-24T18:03:39,other,参考资料,False,False,False,False,False
references/modeling/README.md,README.md,.md,references/modeling,89,2026-04-24T22:44:05,markdown,参考资料,False,False,False,False,False
references/notes/.gitkeep,.gitkeep,,references/notes,1,2026-04-24T18:03:39,other,参考资料,False,False,False,False,False
references/notes/README.md,README.md,.md,references/notes,118,2026-04-24T22:44:05,markdown,参考资料,False,False,False,False,False
references/notes/物流与供应链管理前言-研究计划-肖宇航.docx,物流与供应链管理前言-研究计划-肖宇航.docx,.docx,references/notes,1038562,2026-01-06T11:25:02,document,参考资料,False,False,False,False,False
references/notes/食品安全风险监测与优化_Codex科研工作流总结.docx,食品安全风险监测与优化_Codex科研工作流总结.docx,.docx,references/notes,44717,2026-04-14T18:17:40,document,参考资料,False,False,False,False,False
references/processed_summaries/.gitkeep,.gitkeep,,references/processed_summaries,1,2026-04-24T18:03:39,other,参考资料,False,False,False,False,False
references/processed_summaries/peanut_research_plan_summary.md,peanut_research_plan_summary.md,.md,references/processed_summaries,18704,2026-04-24T19:06:20,markdown,参考资料,False,False,False,False,False
references/processed_summaries/README.md,README.md,.md,references/processed_summaries,121,2026-04-24T22:34:57,markdown,参考资料,False,False,False,False,False
references/standards/.gitkeep,.gitkeep,,references/standards,1,2026-04-24T18:03:39,other,参考资料,False,False,False,False,False
references/standards/README.md,README.md,.md,references/standards,88,2026-04-24T22:44:05,markdown,参考资料,False,False,False,False,False
references/visualization/.gitkeep,.gitkeep,,references/visualization,1,2026-04-24T18:03:39,other,参考资料,False,False,False,False,False
references/visualization/README.md,README.md,.md,references/visualization,86,2026-04-24T22:44:05,markdown,参考资料,False,False,False,False,False
