省份,年份,月份,年月,供应链环节,抽检总批次数,AFB1相关记录数,浓度可用记录数,总体不合格_后验均值,AFB1条件不合格_后验均值,EDI均值,EDI_P95,MOE_default_均值,低于MOE阈值比例,人口加权风险_proxy,MOE风险惩罚_proxy,dqn_risk_proxy,dqn_uncertainty_proxy,dqn_coverage_gap_proxy,Q_action_0,Q_action_1,Q_action_2,recommended_action,recommended_action_name,recommended_inspection_units
安徽,2024,1,2024-01,其他,1,1,1,0.6666666666666666,0.6666666666666666,0.0070459999999999,0.0070459999999999,14.902072097644057,1.0,61230000.0,0.9952841543994796,0.9787802840434419,0.991812865497076,0.3068528194400547,4.222839634640692,4.838206950140509,5.113857515696066,2,重点专项抽检,2
海南,2024,4,2024-04,餐饮,1,1,1,0.3418803418803419,0.6666666666666666,0.0085705,0.0085705,12.25132722711627,1.0,10480000.0,0.996122997712938,0.9637426900584796,0.9672514619883041,0.3068528194400547,4.46103170370906,5.301611739749815,5.418776799109015,2,重点专项抽检,2
云南,2023,12,2023-12,生产,1,1,1,0.1934771157972835,0.7468354430379747,0.0044216666666666,0.0044216666666666,23.7467018469657,1.0,46730000.0,0.9924852209345044,0.9564745196324144,0.9152046783625731,0.3068528194400547,2.5919541783945528,3.326356207190342,3.6288631533238327,2,重点专项抽检,2
云南,2023,11,2023-11,生产,3,1,1,0.1343014227556973,0.6666666666666666,0.0049933333333333,0.0049933333333333,21.02803738317757,1.0,46730000.0,0.9933455577901336,0.9558897243107769,0.8994152046783626,0.0,2.2142203898394595,2.927803806487609,3.030642510900913,2,重点专项抽检,2
四川,2023,4,2023-04,餐饮,1,1,1,0.0985591878722919,0.6666666666666666,0.0031897666666666,0.0031897666666666,32.91776827981148,1.0,83680000.0,0.9895829847215788,0.9553884711779448,0.8614035087719298,0.3068528194400547,1.218278085649514,1.7350921287278114,2.3024693747065093,2,重点专项抽检,2
广西,2024,4,2024-04,其他,1,1,1,0.6666666666666666,0.6666666666666666,0.0012603999999999,0.0012603999999999,83.30688670263409,1.0,50130000.0,0.9736370611700526,0.9509607351712616,0.991812865497076,0.3068528194400547,4.221442565990603,4.807178830743189,5.064504176134361,2,重点专项抽检,2
山东,2023,2,2023-02,生产,29,1,1,0.0482509047044632,0.6666666666666666,0.0027241666666666,0.0027241666666666,38.54389721627409,1.0,101230000.0,0.9878025641720652,0.9439431913116124,0.7391812865497076,0.0,1.0919901437877624,1.562759840611853,1.9209588132456836,2,重点专项抽检,2
海南,2024,7,2024-07,餐饮,1,1,1,0.4431092752534735,0.7468354430379747,0.0011651,0.0011651,90.12101965496522,1.0,10480000.0,0.971480689982606,0.939766081871345,0.9666666666666667,0.3068528194400547,4.645101037636453,5.30715868029229,5.50389499158501,2,重点专项抽检,2
浙江,2024,11,2024-11,生产,5,1,1,0.0578433978554716,0.7296082212251928,0.0045940666666666,0.0045940666666666,22.855567325971183,1.0,66700000.0,0.992767225529756,0.9325814536340852,0.6812865497076024,0.0,1.1519985116542586,1.577893566362696,1.9974618001055289,2,重点专项抽检,2
河南,2023,4,2023-04,餐饮,80,30,30,0.1381280031247831,0.9771634752623346,0.00396253,0.0060892975,29.004702720797223,1.0,98150000.0,0.9908212966073427,0.9284878863826231,0.6298245614035087,0.0,1.86888692713581,2.401304869850209,2.742013562156668,2,重点专项抽检,2
