检查项,命令,returncode,stdout,stderr,状态
default_python_sys,python -c import sys; print(sys.executable); print(sys.version),0,"D:\anaconda3\python.exe
3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:09:58) [MSC v.1929 64 bit (AMD64)]",,PASS
default_python_torch,python -c import torch; print(torch.__version__); print(torch.cuda.is_available()),1,,"Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
    import torch; print(torch.__version__); print(torch.cuda.is_available())
    ^^^^^^^^^^^^
ModuleNotFoundError: No module named 'torch'",FAIL
myevn1_path_exists,Test-Path D:\anaconda3\envs\myevn1\python.exe,1,False,,FAIL
myevn1_python_sys,D:\anaconda3\envs\myevn1\python.exe -c import sys; print(sys.executable); print(sys.version),,,FileNotFoundError: [WinError 2] 系统找不到指定的文件。,FAIL
myevn1_python_torch,D:\anaconda3\envs\myevn1\python.exe -c import torch; print(torch.__version__); print(torch.cuda.is_available()),,,FileNotFoundError: [WinError 2] 系统找不到指定的文件。,FAIL
myevn1_python_basic,"D:\anaconda3\envs\myevn1\python.exe -c import numpy, pandas, sklearn; print('basic ok')",,,FileNotFoundError: [WinError 2] 系统找不到指定的文件。,FAIL
discovered_myenv1_path_exists,Test-Path D:\anaconda3\envs\myenv1\python.exe,0,True,,PASS
discovered_myenv1_python_sys,D:\anaconda3\envs\myenv1\python.exe -c import sys; print(sys.executable); print(sys.version),0,"D:\anaconda3\envs\myenv1\python.exe
3.13.12 | packaged by Anaconda, Inc. | (main, Feb 24 2026, 16:05:56) [MSC v.1942 64 bit (AMD64)]",,PASS
discovered_myenv1_python_torch_raw,D:\anaconda3\envs\myenv1\python.exe -c import torch; print(torch.__version__); print(torch.cuda.is_available()),3,,"OMP: Error #15: Initializing libiomp5md.dll, but found libiomp5md.dll already initialized.
OMP: Hint This means that multiple copies of the OpenMP runtime have been linked into the program. That is dangerous, since it can degrade performance or cause incorrect results. The best thing to do is to ensure that only a single OpenMP runtime is linked into the process, e.g. by avoiding static linking of the OpenMP runtime in any library. As an unsafe, unsupported, undocumented workaround you can set the environment variable KMP_DUPLICATE_LIB_OK=TRUE to allow the program to continue to execute, but that may cause crashes or silently produce incorrect results. For more information, please see http://www.intel.com/software/products/support/.",FAIL
discovered_myenv1_python_torch_with_kmp_workaround,D:\anaconda3\envs\myenv1\python.exe -c import torch; print(torch.__version__); print(torch.cuda.is_available()),0,"2.11.0+cu130
False","D:\anaconda3\envs\myenv1\Lib\site-packages\torch\cuda\__init__.py:180: UserWarning: cudaGetDeviceCount() returned cudaErrorNotSupported, likely using older driver or on CPU machine (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\c10\cuda\CUDAFunctions.cpp:88.)
  return torch._C._cuda_getDeviceCount() > 0",PASS
discovered_myenv1_python_basic,"D:\anaconda3\envs\myenv1\python.exe -c import numpy, pandas, sklearn; print('basic ok')",1,,"Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
    import numpy, pandas, sklearn; print('basic ok')
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ModuleNotFoundError: No module named 'sklearn'",FAIL
