check,value,status
count_panel_rows,1710,info
belief_state_rows,1710,pass
state_feature_rows,1710,pass
count_panel_duplicate_rows,0,pass
belief_states_duplicate_rows,0,pass
state_features_duplicate_rows,0,pass
count_panel_columns,省份 | 年份 | 月份 | 年月 | 供应链环节 | 抽检总批次数 | 合格批次数 | 不合格批次数 | AFB1相关记录数 | AFB1相关不合格批次数 | 浓度可用记录数 | 不合格率 | AFB1相关不合格率 | 数据完整性标记,info
state_features_columns,省份 | 年份 | 月份 | 年月 | 供应链环节 | 抽检总批次数 | 合格批次数 | 不合格批次数 | AFB1相关记录数 | AFB1相关不合格批次数 | 浓度可用记录数 | 不合格率 | AFB1相关不合格率 | 数据完整性标记 | 年月排序 | 总体不合格_观测成功数 | 总体不合格_观测试验数 | 总体不合格_观测率 | 总体不合格_先验alpha | 总体不合格_先验beta | 总体不合格_先验均值 | 总体不合格_先验方差 | 总体不合格_先验95下限_正态近似 | 总体不合格_先验95上限_正态近似 | 总体不合格_后验alpha | 总体不合格_后验beta | 总体不合格_后验均值 | 总体不合格_后验方差 | 总体不合格_后验标准差 | 总体不合格_后验95下限_正态近似,info
concentration_rows,1978,info
concentration_numeric_原始检测数值_nonmissing,35,info
concentration_numeric_原始检测数值_negative,0,pass
concentration_numeric_初检浓度值_nonmissing,766,info
concentration_numeric_初检浓度值_negative,0,pass
concentration_numeric_复检浓度值_nonmissing,4,info
concentration_numeric_复检浓度值_negative,0,pass
concentration_numeric_最终采用浓度值_nonmissing,766,info
concentration_numeric_最终采用浓度值_negative,0,pass
concentration_numeric_浓度单位_nonmissing,0,info
concentration_numeric_浓度单位_negative,0,pass
concentration_numeric_法规限量_数值_nonmissing,754,info
concentration_numeric_法规限量_数值_negative,0,pass
concentration_numeric_浓度清洗状态_nonmissing,0,info
concentration_numeric_浓度清洗状态_negative,0,pass
concentration_numeric_检测数值解析失败原因_nonmissing,0,info
concentration_numeric_检测数值解析失败原因_negative,0,pass
risk_table_rows,766,info
