relative_path,suffix,bytes,path_keyword_hit,has_pdf,note_garbled,question_marks_count,replacement_char_count,relevant_keywords
data\candidates\20260420_pdf_pipeline_smoketest_candidates.csv,.csv,1485,False,False,False,0,0,MDP | food safety | risk
data\candidates\20260420_regulatory_risk_methods_candidates.csv,.csv,6161,True,False,False,0,0,reinforcement | safe reinforcement | constrained | constraint | MDP | risk
data\candidates\20260420_risk_based_monitoring_candidates.csv,.csv,4098,True,False,False,0,0,food safety | risk | monitoring
data\candidates\20260421_new_machine_single_paper_candidates.csv,.csv,1315,False,False,False,0,0,food safety | risk | monitoring
data\candidates\20260425_dqn_methods_candidates.csv,.csv,1595,True,False,False,0,0,DQN | deep reinforcement | reinforcement | MDP | belief | risk
data\candidates\first_round_candidates.csv,.csv,2275,False,False,True,2,0,food safety | risk | monitoring
data\candidates\master_candidates.csv,.csv,643,False,False,True,1,0,food safety | risk | monitoring
data\screened\20260420_pdf_pipeline_smoketest_selected.csv,.csv,1488,False,False,False,0,0,MDP | food safety | risk
data\screened\20260420_regulatory_risk_methods_selected.csv,.csv,3637,True,False,False,0,0,reinforcement | safe reinforcement | constrained | constraint | MDP | risk
data\screened\20260420_risk_based_monitoring_selected.csv,.csv,2592,True,False,False,0,0,food safety | risk | monitoring
data\screened\20260421_new_machine_single_paper_selected.csv,.csv,1309,False,False,False,0,0,food safety | risk | monitoring
data\screened\20260425_dqn_methods_selected.csv,.csv,1595,True,False,False,0,0,DQN | deep reinforcement | reinforcement | MDP | belief | risk
data\screened\first_round_selected.csv,.csv,2295,False,False,True,2,0,food safety | risk
data\screened\screened_library.csv,.csv,620,False,False,True,1,0,food safety | risk | monitoring
data\deepreads\20260415_Bayesian network modeling applied to food risks Data from General Administration of Customs of China as an example.md,.md,5769,True,False,False,0,0,POMDP | MDP | risk | 食品 | 风险 | 强化学习 | 监管 | 抽检
data\deepreads\20260415_Big Data Impacting Dynamic Food Safety Risk Management in the Food Chain.md,.md,6221,True,False,False,0,0,POMDP | MDP | food safety | risk | 食品 | 风险 | 强化学习 | 监管 | 抽检
data\deepreads\20260420_A Survey of Constraint Formulations in Safe Reinforcement Learning.md,.md,18524,True,False,False,0,0,reinforcement | safe reinforcement | constrained | constraint | MDP | risk | 食品 | 风险 | 强化学习 | 监管 | 抽检
data\deepreads\20260420_Designing optimal food safety monitoring schemes using Bayesian network and integer programming The case of monitoring dioxins and DL-PCBs.md,.md,12820,True,False,False,0,0,POMDP | MDP | food safety | risk | monitoring | 食品 | 风险 | 强化学习 | 监管 | 抽检
data\deepreads\20260420_Early warning predictions of contaminants in animal feed using machine learning.md,.md,13811,False,False,False,0,0,risk | monitoring | 食品 | 风险 | 监管 | 抽检
data\deepreads\20260420_Machine learning-aided risk-based inspection strategy for hydrogen technologies.md,.md,15173,True,False,False,0,0,risk | 食品 | 风险 | 强化学习 | 监管 | 抽检
data\deepreads\20260420_Multi-Criteria Decision Analysis in Food Safety Risk Management The Case of Dioxins in Baltic Fish.md,.md,19724,True,False,False,0,0,POMDP | MDP | food safety | risk | 食品 | 风险 | 监管 | 抽检
data\deepreads\20260420_Using Machine Learning to Predict Regulatory Fines Enhancing Deterrence in White-Collar Financial Crime Enforcement.md,.md,18841,False,False,False,0,0,risk | 食品 | 风险 | 监管 | 抽检
data\deepreads\20260421_AI-Driven Risk Assessment in Food Safety Using EU RASFF Database.md,.md,18122,True,False,False,0,0,POMDP | MDP | food safety | risk | monitoring | aflatoxin | 黄曲霉 | 食品 | 风险 | 监管 | 抽检
data\deepreads\20260425_Human-level control through deep reinforcement learning.md,.md,700,True,False,True,40,0,DQN | deep reinforcement | reinforcement | MDP | belief
data\deepreads\README.md,.md,599,False,False,False,0,0,
data\pdfs\README.md,.md,528,False,False,False,0,0,
logs\20260420_regulatory_risk_methods_search.md,.md,1743,True,False,False,0,0,reinforcement | safe reinforcement | constrained | constraint | MDP | risk | 食品 | 风险 | 强化学习 | 监管
logs\20260420_regulatory_risk_methods_summary.md,.md,3271,True,False,False,0,0,reinforcement | safe reinforcement | constrained | constraint | MDP | risk | 风险 | 强化学习 | 监管
logs\20260420_risk_based_monitoring_search.md,.md,2284,True,False,False,0,0,food safety | risk | monitoring | 食品 | 风险 | 监管 | 抽检
logs\20260420_risk_based_monitoring_summary.md,.md,3639,True,False,False,0,0,reinforcement | POMDP | MDP | food safety | risk | monitoring | 食品 | 风险 | 强化学习 | 监管 | 抽检
logs\20260425_dqn_methods_zotero_import.md,.md,126,True,False,False,0,0,DQN
logs\20260425_dqn_methods_zotero_import_raw.md,.md,2064,True,False,False,0,0,DQN
data\pdfs\20260420_Multi-Criteria Decision Analysis in Food Safety Risk Management The Case of Dioxins in Baltic Fish.pdf,.pdf,973622,True,True,False,0,0,food safety | risk
data\pdfs\20260421_AI-Driven Risk Assessment in Food Safety Using EU RASFF Database.pdf,.pdf,2629218,True,True,False,0,0,food safety | risk
