省份,年月,供应链环节,Q_action_0,Q_action_1,Q_action_3,Q_action_5,Q_action_10,experimental_label
上海,2023-01,流通,0.30882323,0.38484585,0.37541175,0.2766871,-0.057103306,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2023-02,流通,0.33356738,0.27810618,0.14312571,-0.018025335,-0.466392,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2023-03,流通,0.34475902,0.2615003,0.06944567,-0.077998854,-0.58300114,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2023-04,流通,0.31778526,0.22618046,0.050473213,-0.11309255,-0.6150347,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2023-05,流通,0.28380224,0.18639249,0.0046187043,-0.1689237,-0.6748395,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2023-06,流通,0.27040637,0.18241218,0.012272358,-0.18916292,-0.6748255,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2023-07,流通,0.2723061,0.18934533,0.022971809,-0.18912283,-0.6661457,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2023-08,流通,0.25405684,0.16776544,-0.014742345,-0.19339576,-0.6979833,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2023-09,流通,0.3168018,0.22295398,0.04931742,-0.13084498,-0.6348803,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2023-10,流通,0.37404916,0.2787252,0.11658701,-0.076469935,-0.57287467,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2023-11,流通,0.40472868,0.3090407,0.14860755,-0.049402364,-0.54383767,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2023-12,流通,0.4803493,0.38534027,0.23752955,0.020443628,-0.46110028,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2024-01,流通,0.44967407,0.35566586,0.2067998,-0.01313374,-0.49466008,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2024-02,流通,0.3990466,0.30850986,0.15688905,-0.062071152,-0.543553,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2024-03,流通,0.41812885,0.32496923,0.17343226,-0.04551906,-0.52776724,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2024-04,流通,0.39052054,0.29744238,0.14417294,-0.07413135,-0.55685705,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2024-05,流通,0.33655033,0.24688184,0.09141484,-0.12598267,-0.6085305,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2024-06,流通,0.30995563,0.22238171,0.065798834,-0.15101132,-0.63328934,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2024-07,流通,0.34405366,0.25173306,0.09622142,-0.12075951,-0.6037164,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2024-08,流通,0.27538666,0.19110638,0.030430019,-0.18531936,-0.66791105,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2024-09,流通,0.32220235,0.23064758,0.07366671,-0.14259684,-0.6256523,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2024-10,流通,0.2827094,0.19561325,0.03457059,-0.1809529,-0.6642314,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2024-11,流通,0.31264362,0.2192481,0.058359474,-0.15606794,-0.6407316,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
