logical_field,source_column,status
province,省份,mapped
year_month,年月,mapped
year,年份,mapped
month,月份,mapped
stage,供应链环节,mapped
state_id,状态ID,mapped
total_count,抽检总批次数,mapped
fail_count,不合格批次数,mapped
afb1_count,AFB1相关记录数,mapped
afb1_fail_count,AFB1相关不合格批次数,mapped
concentration_count,浓度可用记录数,mapped
posterior_mean,总体不合格_后验均值,mapped
posterior_var,总体不合格_后验方差,mapped
afb1_posterior_mean,AFB1全样本不合格_后验均值,mapped
afb1_posterior_var,AFB1全样本不合格_后验方差,mapped
edi_mean,EDI均值,mapped
edi_p95,EDI_P95,mapped
moe_min,MOE_default_最小值,mapped
moe_penalty,MOE风险惩罚_proxy,mapped
population_risk,人口加权风险_proxy,mapped
population,人口数_人,mapped
