省份,年月,供应链环节,状态ID,recommended_action_index,recommended_extra_sampling_batches,experimental_label,risk_score_proxy
安徽,2024-01,其他,安徽|其他|2024-01,3,5,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.7575225979963377
广西,2024-04,其他,广西|其他|2024-04,3,5,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.7365515001900325
不详,2024-03,其他,不详|其他|2024-03,3,5,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.7083838107819094
海南,2024-07,餐饮,海南|餐饮|2024-07,3,5,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.5201847746019886
海南,2024-04,餐饮,海南|餐饮|2024-04,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.45425298278686294
云南,2023-12,生产,云南|生产|2023-12,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.4039909952599918
河南,2023-04,餐饮,河南|餐饮|2023-04,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.39485386150881674
不详,2023-11,其他,不详|其他|2023-11,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3833333333333333
山西,2023-01,生产,山西|生产|2023-01,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3833333333333333
河南,2023-07,餐饮,河南|餐饮|2023-07,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3741463939674521
四川,2023-04,餐饮,四川|餐饮|2023-04,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3669080284549201
云南,2023-11,生产,云南|生产|2023-11,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3627400775020073
河南,2023-10,餐饮,河南|餐饮|2023-10,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3549720926362331
河南,2023-09,餐饮,河南|餐饮|2023-09,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.35494370266285025
河南,2023-01,餐饮,河南|餐饮|2023-01,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3487113318698485
河南,2023-11,餐饮,河南|餐饮|2023-11,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3424703841973028
河南,2023-12,餐饮,河南|餐饮|2023-12,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.34210496923916767
河南,2024-06,餐饮,河南|餐饮|2024-06,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.338700974757036
河南,2024-03,餐饮,河南|餐饮|2024-03,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.33848041576421023
河南,2023-02,餐饮,河南|餐饮|2023-02,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.33680122140765
河南,2023-03,餐饮,河南|餐饮|2023-03,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.33678120236224507
河南,2024-08,餐饮,河南|餐饮|2024-08,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.33637088769335405
河南,2024-07,餐饮,河南|餐饮|2024-07,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3357693532558338
山东,2023-11,生产,山东|生产|2023-11,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3333392452620164
河南,2024-09,餐饮,河南|餐饮|2024-09,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.33288287458678056
浙江,2024-11,生产,浙江|生产|2024-11,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.33187324704605303
山东,2023-02,生产,山东|生产|2023-02,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3313361461275373
四川,2024-06,生产,四川|生产|2024-06,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3271961191391417
山东,2024-06,生产,山东|生产|2024-06,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.32079916791261776
河南,2024-11,餐饮,河南|餐饮|2024-11,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3207612375258916
山东,2024-11,生产,山东|生产|2024-11,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.32023610086285204
河北,2024-06,生产,河北|生产|2024-06,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.31990677320777616
河南,2024-12,餐饮,河南|餐饮|2024-12,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.31968108053920985
山东,2023-09,生产,山东|生产|2023-09,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.31944861708601124
浙江,2024-04,生产,浙江|生产|2024-04,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.31905965235171074
甘肃,2024-12,餐饮,甘肃|餐饮|2024-12,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.318669385083468
山东,2024-10,生产,山东|生产|2024-10,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.31673380996418893
浙江,2024-05,餐饮,浙江|餐饮|2024-05,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3163450506332658
浙江,2023-12,餐饮,浙江|餐饮|2023-12,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3162726609003564
河南,2023-01,流通,河南|流通|2023-01,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3148757916421898
广西,2023-03,生产,广西|生产|2023-03,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.31407427007455613
