path,type,size_bytes,last_write_time,recommendation,risk_level,reason,requires_user_confirmation
reports/项目级索引与摘要/peanut_dqn_auto_training_report.md,project_summary_report,947,2026-04-26 18:30:50,candidate_requires_explicit_selection,medium,"project-level report may be superseded, but can carry unique summary context",yes
reports/项目级索引与摘要/peanut_moe_edi_external_parameter_matching_report.md,project_summary_report,6919,2026-04-24 21:32:10,candidate_requires_explicit_selection,medium,"project-level report may be superseded, but can carry unique summary context",yes
reports/项目级索引与摘要/peanut_pre_dqn_readiness_after_moe_edi.md,project_summary_report,1981,2026-04-24 21:32:10,candidate_requires_explicit_selection,medium,"project-level report may be superseded, but can carry unique summary context",yes
reports/项目级索引与摘要/project_whole_workspace_organization_report.md,project_summary_report,8990,2026-04-24 22:44:05,candidate_requires_explicit_selection,medium,"project-level report may be superseded, but can carry unique summary context",yes
reports/项目级索引与摘要/README.md,project_summary_report,152,2026-04-25 00:20:13,candidate_requires_explicit_selection,medium,"project-level report may be superseded, but can carry unique summary context",yes
reports/项目级索引与摘要/workflow_run_package_restructure_report.md,project_summary_report,4199,2026-04-24 23:57:49,candidate_requires_explicit_selection,medium,"project-level report may be superseded, but can carry unique summary context",yes
reports/项目级索引与摘要/workflow_workspace_cleanup_report.md,project_summary_report,5988,2026-04-25 00:23:50,candidate_requires_explicit_selection,medium,"project-level report may be superseded, but can carry unique summary context",yes
outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座,historical_run_package,112526009,2026-04-24 23:56:53,candidate_requires_explicit_selection,medium,historical run package; likely old output but may be unique provenance,yes
outputs/工作包/20260424_2048_BetaBinomial信念更新,historical_run_package,5886488,2026-04-24 23:56:53,candidate_requires_explicit_selection,medium,historical run package; likely old output but may be unique provenance,yes
outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复,historical_run_package,888888,2026-04-24 23:56:53,candidate_requires_explicit_selection,medium,historical run package; likely old output but may be unique provenance,yes
outputs/工作包/20260424_2132_MOE_EDI外部参数匹配,historical_run_package,7015935,2026-04-24 23:56:53,candidate_requires_explicit_selection,medium,historical run package; likely old output but may be unique provenance,yes
outputs/工作包/20260424_2244_全工作目录整理与规范化,historical_run_package,179930,2026-04-24 23:56:53,candidate_requires_explicit_selection,medium,historical run package; likely old output but may be unique provenance,yes
outputs/工作包/20260424_2357_工作流任务包机制重构,historical_run_package,94869,2026-04-24 23:57:49,candidate_requires_explicit_selection,medium,historical run package; likely old output but may be unique provenance,yes
outputs/工作包/20260425_0020_全工作流目录重构与去重,historical_run_package,191950,2026-04-25 00:20:14,candidate_requires_explicit_selection,medium,historical run package; likely old output but may be unique provenance,yes
outputs/工作包/20260425_1132_DQN初步运行,historical_run_package,404409,2026-04-25 11:39:37,candidate_requires_explicit_selection,high,recent DQN/quality/literature package; needed for current continuation unless user explicitly deletes,yes
outputs/工作包/20260425_1157_DQN文档驱动建模准备与参数确认,historical_run_package,298031,2026-04-25 12:02:15,candidate_requires_explicit_selection,high,recent DQN/quality/literature package; needed for current continuation unless user explicitly deletes,yes
outputs/工作包/20260425_1251_DQN环境修复_PyTorch_CUDA126安装,historical_run_package,59336,2026-04-25 13:03:59,candidate_requires_explicit_selection,high,recent DQN/quality/literature package; needed for current continuation unless user explicitly deletes,yes
outputs/工作包/20260426_1648_AutoResearch式自动科研循环升级,historical_run_package,1011,2026-04-26 16:48:06,candidate_requires_explicit_selection,medium,historical run package; likely old output but may be unique provenance,yes
outputs/工作包/20260426_1702_工作流自我升级机制构建,historical_run_package,64866,2026-04-26 17:02:47,candidate_requires_explicit_selection,medium,historical run package; likely old output but may be unique provenance,yes
outputs/工作包/20260426_1718_一句话自动科研验收与补强,historical_run_package,44207,2026-04-26 17:18:30,candidate_requires_explicit_selection,medium,historical run package; likely old output but may be unique provenance,yes
outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/00_输入说明,historical_run_package,125,2026-04-24 23:56:53,candidate_requires_explicit_selection,medium,historical run package; likely old output but may be unique provenance,yes
outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/01_数据输出,historical_run_package,112455624,2026-04-24 23:56:53,candidate_requires_explicit_selection,medium,historical run package; likely old output but may be unique provenance,yes
outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/02_表格输出,historical_run_package,0,2026-04-24 23:56:53,candidate_requires_explicit_selection,medium,historical run package; likely old output but may be unique provenance,yes
