path,type,size_bytes,last_write_time,recommendation,risk_level,reason,requires_user_confirmation
src/workflow1/__pycache__,cache_directory,37057,2026-04-26 19:09:58,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/pipelines/__pycache__,cache_directory,1711,2026-04-25 12:12:19,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/quality/__pycache__,cache_directory,13901,2026-04-26 19:12:45,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/references/__pycache__,cache_directory,9944,2026-04-26 19:09:58,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/reporting/__pycache__,cache_directory,4159,2026-04-26 19:12:45,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/schemas/__pycache__,cache_directory,1557,2026-04-26 19:09:58,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/self_improvement/__pycache__,cache_directory,10635,2026-04-26 19:09:58,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/tools/__pycache__,cache_directory,64933,2026-04-26 19:09:58,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/utils/__pycache__,cache_directory,2699,2026-04-25 12:12:19,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/tools/legacy_scripts/__pycache__,cache_directory,323925,2026-04-26 19:09:58,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/pipelines/cleaning/__pycache__,cache_directory,39373,2026-04-26 19:09:58,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/pipelines/eda/__pycache__,cache_directory,490,2026-04-26 19:09:58,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/pipelines/evaluation/__pycache__,cache_directory,502,2026-04-26 19:09:58,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/pipelines/features/__pycache__,cache_directory,510,2026-04-26 19:09:58,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/pipelines/intake/__pycache__,cache_directory,11628,2026-04-26 19:09:58,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/pipelines/matching/__pycache__,cache_directory,493,2026-04-26 19:09:58,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/pipelines/modeling/__pycache__,cache_directory,488,2026-04-26 19:09:58,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/pipelines/optimization/__pycache__,cache_directory,53981,2026-04-26 18:18:13,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/pipelines/postprocess/__pycache__,cache_directory,506,2026-04-26 19:09:58,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/pipelines/validation/__pycache__,cache_directory,16871,2026-04-26 19:09:58,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
src/workflow1/pipelines/visualization/__pycache__,cache_directory,508,2026-04-26 19:09:58,recommended_delete,low,standard cache directory,yes_current_turn_no_delete
