policy,状态ID,省份,年月,供应链环节,desired_action,applied_action,risk_score,uncertainty_score,rescaled_reward,experimental_label
DQN修正版,上海|流通|2023-01,上海,2023-01,流通,1,1,0.54,1.0,0.798214316368103,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,不详|流通|2023-01,不详,2023-01,流通,5,5,0.358076354789762,0.0006639639466778775,0.7470471262931824,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,不详|餐饮|2023-01,不详,2023-01,餐饮,1,1,0.01335623492969882,0.0029673315133508034,-0.013877518475055695,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,云南|流通|2023-01,云南,2023-01,流通,3,3,0.3622757598362948,0.591260444195483,0.8526921272277832,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,云南|餐饮|2023-01,云南,2023-01,餐饮,3,3,0.3208099612242066,0.4804793972381209,0.7913880348205566,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,内蒙古|餐饮|2023-01,内蒙古,2023-01,餐饮,1,1,0.3208099612242066,0.4804793972381209,0.5252503752708435,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,北京|流通|2023-01,北京,2023-01,流通,1,1,0.54,1.0,0.798214316368103,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,吉林|流通|2023-01,吉林,2023-01,流通,1,1,0.415588929480408,0.7447291723394609,0.6765656471252441,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,吉林|餐饮|2023-01,吉林,2023-01,餐饮,1,1,0.54,1.0,0.798214316368103,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,四川|流通|2023-01,四川,2023-01,流通,10,10,0.13125202471180325,0.10012916199417415,0.3669668436050415,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,四川|生产|2023-01,四川,2023-01,生产,10,10,0.54,1.0,0.9979373216629028,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,四川|餐饮|2023-01,四川,2023-01,餐饮,5,5,0.54,1.0,0.9887419939041138,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,天津|流通|2023-01,天津,2023-01,流通,5,5,0.15494676677585353,0.13420215500921534,0.4378603398799896,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,天津|生产|2023-01,天津,2023-01,生产,1,1,0.54,1.0,0.798214316368103,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,天津|餐饮|2023-01,天津,2023-01,餐饮,1,1,0.54,1.0,0.798214316368103,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,宁夏|餐饮|2023-01,宁夏,2023-01,餐饮,1,1,0.54,1.0,0.798214316368103,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,安徽|流通|2023-01,安徽,2023-01,流通,1,1,0.05672348545287659,0.007505858313789851,0.04084385186433792,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,安徽|生产|2023-01,安徽,2023-01,生产,5,5,0.54,1.0,0.9887419939041138,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,安徽|餐饮|2023-01,安徽,2023-01,餐饮,10,10,0.2187403031021432,0.2466419817885368,0.7486451268196106,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,山东|流通|2023-01,山东,2023-01,流通,5,5,0.031612792327678454,0.0015506813482758098,-0.0565548837184906,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,山东|生产|2023-01,山东,2023-01,生产,10,10,0.2187403031021432,0.2466419817885368,0.7486451268196106,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,山东|餐饮|2023-01,山东,2023-01,餐饮,3,3,0.05851467698029951,0.024927432647313577,0.06773689389228821,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,山西|流通|2023-01,山西,2023-01,流通,5,5,0.17567966608189783,0.1675477907655853,0.5150994062423706,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,山西|生产|2023-01,山西,2023-01,生产,3,3,0.56,1.0,0.9691704511642456,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,山西|餐饮|2023-01,山西,2023-01,餐饮,0,0,0.025942059982690148,0.007039245063364228,-0.00816547404974699,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,广东|流通|2023-01,广东,2023-01,流通,10,10,0.10688565386569213,0.002144028239731714,0.1361558884382248,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,广东|生产|2023-01,广东,2023-01,生产,3,3,0.03298853556382933,0.01002244018795056,-0.0062286825850605965,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,广东|餐饮|2023-01,广东,2023-01,餐饮,5,5,0.20792842711167833,0.1224703773314362,0.5534908771514893,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,广西|流通|2023-01,广西,2023-01,流通,5,5,0.10391193771482188,0.06646425995808813,0.2339279055595398,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,广西|生产|2023-01,广西,2023-01,生产,3,3,0.415588929480408,0.7447291723394609,0.9087384343147278,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,广西|餐饮|2023-01,广西,2023-01,餐饮,3,3,0.415588929480408,0.7447291723394609,0.9087384343147278,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,新疆|流通|2023-01,新疆,2023-01,流通,1,1,0.54,1.0,0.798214316368103,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,江苏|流通|2023-01,江苏,2023-01,流通,5,5,0.04920139390676474,0.005289386080838853,0.0024719135835766792,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,江苏|生产|2023-01,江苏,2023-01,生产,10,10,0.3622757598362948,0.591260444195483,0.9695359468460083,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,江苏|餐饮|2023-01,江苏,2023-01,餐饮,0,0,0.047623523309272456,0.01779411812184164,-0.014989100396633148,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,江西|流通|2023-01,江西,2023-01,流通,3,3,0.05851467698029951,0.024927432647313577,0.06773689389228821,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,江西|生产|2023-01,江西,2023-01,生产,1,1,0.54,1.0,0.798214316368103,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,江西|餐饮|2023-01,江西,2023-01,餐饮,3,3,0.4866731556725592,0.9654482420296796,0.9538114070892334,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,河北|流通|2023-01,河北,2023-01,流通,0,0,0.016727438068892826,0.003898295833541738,-0.0052651651203632355,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,河南|流通|2023-01,河南,2023-01,流通,10,10,0.46015927237872617,0.008155919275930314,0.9258598685264587,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,河南|餐饮|2023-01,河南,2023-01,餐饮,10,10,0.6623362509039543,0.04526733177187794,0.9874453544616699,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,浙江|流通|2023-01,浙江,2023-01,流通,1,1,0.021186126091698156,0.005309660232948346,-0.003278448712080717,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,浙江|生产|2023-01,浙江,2023-01,生产,10,10,0.14621712496278244,0.12113665944806615,0.4453985393047333,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,浙江|餐饮|2023-01,浙江,2023-01,餐饮,10,10,0.2187403031021432,0.2466419817885368,0.7486451268196106,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,湖北|流通|2023-01,湖北,2023-01,流通,10,10,0.15494676677585353,0.13420215500921534,0.4891960024833679,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
DQN修正版,湖北|生产|2023-01,湖北,2023-01,生产,10,10,0.54,1.0,0.9979373216629028,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion
