path,absolute_path,type,size_bytes,decision,reason
src/workflow1/__pycache__,D:\桌面\codex\workflow1\src\workflow1\__pycache__,cache_directory,37057,delete,recommended cache/temp item
src/workflow1/pipelines/__pycache__,D:\桌面\codex\workflow1\src\workflow1\pipelines\__pycache__,cache_directory,1711,delete,recommended cache/temp item
src/workflow1/quality/__pycache__,D:\桌面\codex\workflow1\src\workflow1\quality\__pycache__,cache_directory,13901,delete,recommended cache/temp item
src/workflow1/references/__pycache__,D:\桌面\codex\workflow1\src\workflow1\references\__pycache__,cache_directory,9944,delete,recommended cache/temp item
src/workflow1/reporting/__pycache__,D:\桌面\codex\workflow1\src\workflow1\reporting\__pycache__,cache_directory,4159,delete,recommended cache/temp item
src/workflow1/schemas/__pycache__,D:\桌面\codex\workflow1\src\workflow1\schemas\__pycache__,cache_directory,1557,delete,recommended cache/temp item
src/workflow1/self_improvement/__pycache__,D:\桌面\codex\workflow1\src\workflow1\self_improvement\__pycache__,cache_directory,10635,delete,recommended cache/temp item
src/workflow1/tools/__pycache__,D:\桌面\codex\workflow1\src\workflow1\tools\__pycache__,cache_directory,64933,delete,recommended cache/temp item
src/workflow1/utils/__pycache__,D:\桌面\codex\workflow1\src\workflow1\utils\__pycache__,cache_directory,2699,delete,recommended cache/temp item
src/workflow1/tools/legacy_scripts/__pycache__,D:\桌面\codex\workflow1\src\workflow1\tools\legacy_scripts\__pycache__,cache_directory,323925,delete,recommended cache/temp item
src/workflow1/pipelines/cleaning/__pycache__,D:\桌面\codex\workflow1\src\workflow1\pipelines\cleaning\__pycache__,cache_directory,39373,delete,recommended cache/temp item
src/workflow1/pipelines/eda/__pycache__,D:\桌面\codex\workflow1\src\workflow1\pipelines\eda\__pycache__,cache_directory,490,delete,recommended cache/temp item
src/workflow1/pipelines/evaluation/__pycache__,D:\桌面\codex\workflow1\src\workflow1\pipelines\evaluation\__pycache__,cache_directory,502,delete,recommended cache/temp item
src/workflow1/pipelines/features/__pycache__,D:\桌面\codex\workflow1\src\workflow1\pipelines\features\__pycache__,cache_directory,510,delete,recommended cache/temp item
src/workflow1/pipelines/intake/__pycache__,D:\桌面\codex\workflow1\src\workflow1\pipelines\intake\__pycache__,cache_directory,11628,delete,recommended cache/temp item
src/workflow1/pipelines/matching/__pycache__,D:\桌面\codex\workflow1\src\workflow1\pipelines\matching\__pycache__,cache_directory,493,delete,recommended cache/temp item
src/workflow1/pipelines/modeling/__pycache__,D:\桌面\codex\workflow1\src\workflow1\pipelines\modeling\__pycache__,cache_directory,488,delete,recommended cache/temp item
src/workflow1/pipelines/optimization/__pycache__,D:\桌面\codex\workflow1\src\workflow1\pipelines\optimization\__pycache__,cache_directory,53981,delete,recommended cache/temp item
src/workflow1/pipelines/postprocess/__pycache__,D:\桌面\codex\workflow1\src\workflow1\pipelines\postprocess\__pycache__,cache_directory,506,delete,recommended cache/temp item
src/workflow1/pipelines/validation/__pycache__,D:\桌面\codex\workflow1\src\workflow1\pipelines\validation\__pycache__,cache_directory,16871,delete,recommended cache/temp item
src/workflow1/pipelines/visualization/__pycache__,D:\桌面\codex\workflow1\src\workflow1\pipelines\visualization\__pycache__,cache_directory,508,delete,recommended cache/temp item
