episode,total_reward,moving_average_reward,mean_loss,epsilon,mean_action,constraint_violation_rate,device,gpu,elapsed_seconds
1,402.8394929090573,402.8394929090573,0.05726111142171754,0.986,3.561988304093567,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,0.299
2,433.63741617125925,418.2384545401583,0.026000664052036073,0.972196,3.532748538011696,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,0.423
3,467.3045314291812,434.5938135031659,0.015231777137766281,0.9585852559999999,4.0473684210526315,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,0.549
4,485.90855088492424,447.42249784860553,0.009200934010247389,0.9451650624159998,3.195906432748538,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,0.674
5,487.91164572715934,455.5203274243163,0.008598854273764623,0.9319327515421758,3.7222222222222223,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,0.798
6,499.4486159842312,462.8417088509688,0.005170802016639047,0.9188856930205853,3.4994152046783626,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,0.923
7,499.17558676069564,468.03226283807265,0.004748151430653201,0.9060212933182971,3.487719298245614,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,1.046
8,503.99647280486204,472.5277890839213,0.0044746799394488335,0.8933369952118408,3.5736842105263156,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,1.172
9,501.1248518728138,475.70524050490934,0.004279843518613941,0.8808302772788751,3.5403508771929824,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,1.302
10,503.1896509924427,478.4536815536627,0.0037760104427838493,0.8684986533969709,3.6473684210526316,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,1.429
11,471.90494128409955,477.8583415291569,0.05665393960144785,0.8563396722494132,2.6070175438596492,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,1.558
12,483.07241760245415,478.29284786859836,0.04190054090900554,0.8443509168379214,3.356140350877193,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,1.679
13,489.1969415124735,479.1316243027426,0.037911416962742805,0.8325300040021905,3.409356725146199,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,1.807
14,480.09573076271226,479.2004890498833,0.03734921964092387,0.8208745839461598,3.7994152046783625,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,1.932
15,495.874419120928,480.31208438795295,0.03678867634799746,0.8093823397709136,3.4128654970760235,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,2.056
16,494.2439768144144,481.1828276646068,0.03568060023503171,0.7980509870141208,3.3883040935672515,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,2.181
17,494.1711913302188,481.9468490567017,0.03825235252992974,0.7868782731959231,3.3859649122807016,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,2.306
18,484.7623975151331,482.1032684155034,0.034919893369078636,0.7758619773711801,3.2818713450292396,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,2.431
19,488.0971437917633,482.41873554056974,0.03437705565657881,0.7649999096879836,3.2754385964912283,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,2.557
20,489.39990758598685,482.76779414284056,0.032795441854331225,0.7542899109523518,3.2567251461988302,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,2.689
21,482.22624705723683,486.7371318502495,0.06925183720886707,0.7437298521990189,2.946783625730994,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,2.822
22,492.1428775622462,489.6624049197988,0.06093045179214743,0.7333176342682326,3.0748538011695907,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,2.954
23,497.0938077867686,491.1518687376782,0.05817009860442744,0.7230511873884773,3.3707602339181286,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,3.085
24,486.0572398162094,491.1593031842425,0.05516171848608388,0.7129284707650386,3.3812865497076023,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,3.217
25,486.64150165960564,491.09579598086475,0.05411945780118307,0.7029474721743281,2.9573099415204678,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,3.346
26,492.770833694527,490.76190686637955,0.056427221124370895,0.6931062075638875,3.384795321637427,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,3.477
