figure_path,source_data,png_exists,size_bytes,pixel_std,blank_or_near_blank,all_zero_or_no_difference_semantic,chinese_font_status,title_caption_status,paper_results_support,qa_status
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/03_图表输出/dqn_revised_action_distribution.png,01_数据输出/dqn_revised_policy.csv,True,28063,66.028,False,False,font=Microsoft YaHei,explained in figure_explanations.md,experimental only,pass
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/03_图表输出/dqn_revised_constraint_summary.png,02_表格输出/constraint_violation_summary.csv,True,55116,27.047,False,True,font=Microsoft YaHei,explained in figure_explanations.md,experimental only,pass
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/03_图表输出/dqn_revised_constraint_summary_explained.png,02_表格输出/constraint_violation_summary.csv,True,88437,40.063,False,True,font=Microsoft YaHei,explained in figure_explanations.md,experimental only,pass
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/03_图表输出/dqn_revised_convergence_diagnosis.png,02_表格输出/convergence_diagnosis_summary.csv,True,48532,44.881,False,False,font=Microsoft YaHei,explained in figure_explanations.md,experimental only,pass
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/03_图表输出/dqn_revised_moving_average_reward.png,05_模型与实验/dqn_revised_training_log.csv,True,50750,26.9,False,False,font=Microsoft YaHei,explained in figure_explanations.md,experimental only,pass
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/03_图表输出/dqn_revised_policy_comparison.png,02_表格输出/multi_model_policy_comparison.csv,True,57214,71.317,False,False,font=Microsoft YaHei,explained in figure_explanations.md,experimental only,pass
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/03_图表输出/dqn_revised_reward_curve.png,05_模型与实验/dqn_revised_training_log.csv,True,82110,33.916,False,False,font=Microsoft YaHei,explained in figure_explanations.md,experimental only,pass
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/03_图表输出/dqn_revised_top_priority_risk.png,01_数据输出/dqn_revised_policy.csv,True,46450,68.091,False,False,font=Microsoft YaHei,explained in figure_explanations.md,experimental only,pass
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/03_图表输出/dqn_revised_training_curve.png,05_模型与实验/dqn_revised_training_log.csv,True,60349,26.909,False,False,font=Microsoft YaHei,explained in figure_explanations.md,experimental only,pass
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/03_图表输出/multi_model_comparison.png,02_表格输出/multi_model_policy_comparison.csv,True,57252,68.935,False,False,font=Microsoft YaHei,explained in figure_explanations.md,experimental only,pass
