package,directory,file_count,md_count,same_name_explanation_count,local_md_count,diagnosis
outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/00_输入说明,1,1,0,0,ok_or_review
outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出,20,1,0,0,ok_or_review
outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/03_图表输出,11,1,0,0,ok_or_review
outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/04_报告输出,5,3,0,2,over_explained
outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/05_模型与实验,4,1,0,0,ok_or_review
outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/06_配置参数,2,1,0,0,ok_or_review
outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/08_代码快照,10,5,0,0,ok_or_review
outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/09_论文输出,1,1,0,0,ok_or_review
outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/09_论文输出/04_结果,2,1,0,0,ok_or_review
outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/09_论文输出/09_word导出,4,1,0,0,ok_or_review
outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/10_输出解释与索引,2,2,0,0,ok_or_review
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级,outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/00_输入说明,1,1,0,0,ok_or_review
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级,outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/02_表格输出,16,0,0,0,ok_or_review
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级,outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/03_图表输出,10,0,0,0,ok_or_review
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级,outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/04_报告输出,13,11,0,0,ok_or_review
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级,outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/09_论文输出/04_结果,2,1,0,0,ok_or_review
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级,outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/09_论文输出/09_word导出,4,1,0,0,ok_or_review
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级,outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/09_论文输出/09_word导出/rendered_pages,2,0,0,0,ok_or_review
outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级,outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级/10_输出解释与索引,6,6,0,0,ok_or_review
