新一级类,新二级类,新三级类,记录数,原始产品分类数,示例原始产品分类,示例产品名称,建议复核数
乳及乳制品,巴杀乳、灭菌乳、调制乳、高温杀菌乳,按原始乳品细类,2376,1,乳及乳制品-->巴杀乳、灭菌乳、调制乳、高温杀菌乳,纯牛奶；卓小牧有机儿童羊奶；纯牛奶（全脂超高温灭菌乳）；菊乐铁皮奶桶纯牛奶；脱脂纯牛奶；菊乐牛奶纯牛奶；高钙奶（调制乳）；高钙低脂奶,0
乳及乳制品,发酵乳,按原始乳品细类,242,1,乳及乳制品-->发酵乳,0蔗糖风味发酵乳（原味）；白桃风味酸乳；芝士海盐风味酸乳；原味酸牛奶；老四川酸奶；嚼酸奶（燕麦百香果味）；纯甄风味酸奶（经典原味）；巴氏杀菌热处理风味酸奶(经典原味),0
乳及乳制品,乳粉及调制乳粉,按原始乳品细类,121,1,乳及乳制品-->乳粉及调制乳粉,中老年调制乳粉；人之初®中老年多维高钙营养奶粉；蒙牛®中老年多维高钙奶粉；全脂奶粉；全家高钙营养奶粉(调制乳粉)；_x000b_中老年高钙多维奶粉；_x000b_学生营养奶粉；_x000b_全家高钙营养奶粉(调制乳粉),0
乳及乳制品,其他乳制品,按原始乳品细类,15,1,乳及乳制品-->其他乳制品,含牛初乳奶贝；益生元奶酥片(原味)；嚼酸奶（燕麦草莓火龙果味）；牛奶片(草莓口味)；调制乳片（原味）；酸奶味奶酥；益生元酸奶条；原味奶贝,0
乳及乳制品,稀奶油（淡奶油）及其类似品,按原始乳品细类,4,1,乳及乳制品-->稀奶油（淡奶油）及其类似品,特制超级奶油；妙可蓝多稀奶油；稀奶油,0
乳及乳制品,再制干酪与干酪制品,按原始乳品细类,3,1,乳及乳制品-->再制干酪与干酪制品,益生元奶酪棒（草莓味再制干酪）；AD高钙奶酪棒（水果味）（再制干酪）；金装浓醇奶酪棒（原味）,0
保健食品,片剂,按原始剂型,502,1,保健食品-->片剂,嘉力康牌维生素C咀嚼片(蓝莓味)；金奥力牌多种维生素矿物质片；鸿洋神牌氨基葡萄糖硫酸软骨素钙片；美澳健®维生素C咀嚼片(甜橙味)；威士雅Assi®维生素C咀嚼片(香橙味)；鸿洋神牌钙维生素D维生素K咀嚼片；威士雅®维生素C咀嚼片(百香果味)；威士雅Assi®维生素C咀嚼片(柠檬味),0
保健食品,胶囊剂,按原始剂型,291,1,保健食品-->胶囊剂,天美健牌蜂胶软胶囊；美林康牌左旋肉碱绿茶胶囊；威华牌百合貝母胶囊；佳汇泰牌红景天胶囊；美澳健®钙维生素D维生素K软胶囊；柏客健牌氨基葡萄糖硫酸软骨素胶囊；美澳健®维生素E软胶囊；美澳健®鱼油软胶囊,0
保健食品,其他类,按原始剂型,157,1,保健食品-->其他类,精制鱼油(Omega-3脂肪酸)；多烯鱼油(OMEGA-3脂肪酸)；红牛维生素功能饮料；红牛®维生素牛磺酸饮料；东鹏特饮维生素功能饮料；东鹏特饮；乐虎®氨基酸维生素功能饮料；鲁中宝胶牌阿胶核桃黑芝麻糕,0
保健食品,粉剂,按原始剂型,120,1,保健食品-->粉剂,卓悦蛋白粉；蛋白粉；金奥力牌蛋白粉；艾申特牌维生素C维生素E蛋白粉；柏维力®牛磺酸蛋白粉；安琪纽特®酿酒酵母粉蛋白粉；善尔®益生菌粉；養生堂®蛋白粉,0
保健食品,口服液,按原始剂型,96,1,保健食品-->口服液,凯镛®悦怡口服液；国林牌钙铁锌口服液；采森牌葡萄糖酸锌口服液；力克保健液；博诚®钙锌口服液(甜橙味)；仁和匠心牌钙铁锌口服液(水蜜桃味)；海王金樽牌牡蛎大豆肽肉碱口服液；黄金牌灵芝硒口服液,0
保健食品,茶剂,按原始剂型,59,1,保健食品-->茶剂,碧生源牌常菁茶；凤鑫龙源牌快便茶；润通茶；碧生源牌常润茶；仙牌灵芝茶；津玉袋泡茶；碧生源牌纤纤茶；盛坤牌麻仁当归茶,0
保健食品,糖果类,按原始剂型,52,1,保健食品-->糖果类,元亨利牌维生素A维生素D凝胶糖果；川贝枇杷糖；含笑堂牌金银花罗汉果胖大海糖；鑫玺牌胖大海糖；美莱健牌金银花枇杷糖；鑫玺牌川贝枇杷糖；鑫玺牌罗汉果糖；潘高寿川贝枇杷糖,0
保健食品,颗粒剂,按原始剂型,3,1,保健食品-->颗粒剂,康普力星牌维生素D钙颗粒；阿胶党参颗粒；安琪纽特®康普力星牌补锌颗粒,0
保健食品,丸剂,按原始剂型,1,1,保健食品-->丸剂,盖氏云草牌当归丹参川芎丸,0
其他/待复核,食品添加剂,食品添加剂,197,1,食品添加剂-->食品添加剂,食品添加剂磷酸氢二钾；食品添加剂磷酸；食品添加剂磷酸二氢钾；食品添加剂天柱牌山梨酸钾；食品添加剂葡萄糖酸-σ-内酯；食品添加剂焦糖色；食品添加剂山梨酸钾；食品添加剂葡萄糖-σ-内酯,197
其他/待复核,罐头食品,肉类罐头,109,1,罐头食品-->肉类罐头,午餐肉罐头；卤汁鸡腿(罐头食品)；优选云腿午餐肉罐头；清蒸猪肉罐头；庄园黑猪午餐肉罐头；火锅午餐肉罐头；烘肘罐头；豆豉排骨(畜禽肉类罐头),109
其他/待复核,食品添加剂,食品用香精,106,1,食品添加剂-->食品用香精,食品用香精羊肉精粉；食品添加剂乙基麦芽酚香精；食品添加剂A031芝麻味香精；肉类增香型香精(拌合型粉末)；肉香型乙基增香剂(拌合型粉末)；食品用香精柠檬香精5508；食品用香精专用粉2#；食品用香精鸡骨浸膏C（林野专用）,106
其他/待复核,冷冻饮品,雪糕,105,1,冷冻饮品-->雪糕,18新脆筒香草口味雪糕；玉米棒口味雪糕；三色雪糕；原味奶(牛奶味雪糕)；厚乳(牛奶口味)雪糕；牛奶花生糯米(组合型雪糕)；榴莲口味雪糕；每日COFFE咖啡口味雪糕,105
其他/待复核,罐头食品,水果罐头,94,1,罐头食品-->水果罐头,红西柚果粒罐头；橘子罐头；糖水桃罐头；菊花冰糖雪梨罐头；糖水椰果罐头；馋大狮冰糖梨罐头；黄桃罐头；什锦果捞(糖水型什锦水果罐头),94
其他/待复核,食品添加剂,复配食品添加剂,63,1,食品添加剂-->复配食品添加剂,食品添加剂复配消泡剂；复配食品添加剂二水氯化钙；复配膨松剂（双效泡打粉）；食品添加剂油条复配膨松剂无铝害（未添加铝）；吉士粉复配着色增稠剂；复配食品添加剂复配水分保持剂；食品添加剂复配酒用酶制剂；食品添加剂复配酶制剂（葡糖淀粉酶+α-淀粉酶）,63
